id,slug,name,local_name,aliases,country_code,prefecture_codes,region_codes,city,lat,lon,domain,noodle_category,cultural_scope,publication_status,form,noodle_materials,noodle_shape,broth_bases,seasonings,ingredients,tags,keywords,summary,background,variation,allergen_note,tradition,uniqueness,adventure,parent_style_ids,related_ids,bridge_ids,public_source_ids,verification_level,reviewed_at,score_method,search_text
jp-style-udon-kamaage,udon-kamaage,釜揚げうどん,,釜あげうどん,JP,,,,,,japan,udon,standard,published,dipping,小麦粉|食塩|水,ゆで上げ後に水で締めない、ふんわりしたうどん,つけだし,醤油|みりん|塩,ねぎ|しょうが|ごま等,hot_noodle_water|not_rinsed|dipping|soft|wheat_aroma,釜揚げうどん|釜あげ|ゆで湯|つけだし|定番うどん,ゆで上がったうどんを水で締めず、ゆで湯とともに器へ移し、温かいつけだしで食べるスタイル。,冷水で締めないため、表面がやわらかく、ゆでたての小麦の香りとふんわりした食感を味わいやすい。,麺の太さ、ゆで加減、ゆで湯量、つけだしの甘さとだし、薬味は店で異なる。,小麦・大豆・魚介を含むことが多い。ごま等は店舗ごとに異なる。,4.8,3.4,0.9,,jp-style-udon-kake|jp-style-udon-zaru,,src-standard-udon-general|src-standard-kagawa-mainmenu,reviewed,2026-08-10,editorial_source_review_v1,釜揚げうどん 釜あげうどん udon hot_noodle_water not_rinsed dipping soft wheat_aroma 釜揚げうどん 釜あげ ゆで湯 つけだし 定番うどん 定番スタイル
jp-style-udon-zaru,udon-zaru,ざるうどん,,,JP,,,,,,japan,udon,standard,published,dipping,小麦粉|食塩|水,ゆで後に冷水で締め、ざる等へ盛るうどん,濃いめのつけだし,醤油|みりん|塩,ねぎ|しょうが|ごま|のり等,cold|rinsed|dipping|firm_noodle|smooth,ざるうどん|冷たいうどん|つけ汁|定番うどん,ゆでたうどんを冷水で締め、ざるなどへ盛り、別添えの濃いめのつゆにつけて食べるスタイル。,冷水で締めることで、コシ、弾力、なめらかさを直接楽しみやすい。薬味はねぎ、しょうが、ごま等が一般的。,麺の硬さ・太さ、つけだしの甘さ、のり、薬味、天ぷら等は店で異なる。,小麦・大豆・魚介を含むことが多い。ごま、のり、天ぷら等は店舗ごとに異なる。,4.8,2.8,0.8,,jp-style-udon-bukkake|jp-style-udon-kamaage,jp-style-soba-mori-zaru,src-standard-udon-general|src-standard-kagawa-mainmenu,reviewed,2026-08-10,editorial_source_review_v1,ざるうどん udon cold rinsed dipping firm_noodle smooth ざるうどん 冷たいうどん つけ汁 定番うどん 定番スタイル
jp-style-udon-curry,udon-curry,カレーうどん,,,JP,,,,,,japan,udon,standard,published,soup,小麦粉|食塩|水,中太から太めのうどん,和風だし|肉・野菜のうま味,カレー粉・カレールウ|醤油|みりん|塩,豚肉・牛肉・鶏肉|玉ねぎ|ねぎ|油揚げ等,curry|spiced|dashi_curry|thick_soup|warming|rich,カレーうどん|カレー南蛮|和風カレー|定番うどん,和風だしとカレーを合わせ、とろみのある汁へうどんを入れる定番スタイル。肉、玉ねぎ、ねぎなどを使う形が多い。,明治以降のカレー普及と麺文化が結び付き、そば店・うどん店で発達した。だしを感じる和風からカレーソースに近い濃厚型まで幅がある。,カレー粉・ルウ、だし、とろみ、辛さ、肉、乳製品、トマト等で味が大きく変わる。,小麦・大豆を含むことが多い。肉、魚介だし、乳、卵、りんご、落花生等はルウと店舗で異なる。,4.3,3.7,1.2,,jp-style-udon-kake,jp-style-ramen-miso,src-standard-udon-general|src-standard-curry-udon-history|src-standard-curry-udon-recipe,reviewed,2026-08-10,editorial_source_review_v1,カレーうどん udon curry spiced dashi_curry thick_soup warming rich カレーうどん カレー南蛮 和風カレー 定番うどん 定番スタイル
jp-style-soba-kake,soba-kake,かけそば,,,JP,,,,,,japan,soba,standard,published,soup,そば粉|小麦粉（配合は製品・店による）,細めから中太のそば,かつお節|昆布|さば節等,醤油|みりん|砂糖|塩,ねぎ|七味|かまぼこ等,hot_soup|dashi_forward|classic|simple|soba,かけそば|温そば|そばつゆ|定番そば,ゆでたそばへ温かいだしつゆをかける、代表的な温そばの基本スタイル。,つゆにつけて食べるそばに対し、丼へ温かいつゆをかける食べ方として定着した。具を加える多くの温そばの土台になる。,そば粉比率、麺の太さ、つゆの濃さ・甘さ、だし、薬味は地域と店で異なる。,そば・小麦・大豆・魚介を含むことが多い。練り物等は店舗ごとに異なる。,5.0,2.0,0.7,,jp-style-soba-mori-zaru|jp-style-soba-tempura|jp-style-soba-kamo-nanban,,src-standard-soba-general|src-standard-tempura-soba,reviewed,2026-08-10,editorial_source_review_v1,かけそば soba hot_soup dashi_forward classic simple soba かけそば 温そば そばつゆ 定番そば 定番スタイル
jp-style-soba-mori-zaru,soba-mori-zaru,もり・ざるそば,,もりそば|ざるそば|せいろそば,JP,,,,,,japan,soba,standard,published,dipping,そば粉|小麦粉（配合は製品・店による）,冷水で締めた細めから中太のそば,濃いめのそばつゆ,醤油|みりん|砂糖,ねぎ|わさび|のり（ざるで用いる場合）,cold|dipping|rinsed|noodle_aroma|classic|mori_zaru,もりそば|ざるそば|せいろ|冷たいそば|定番そば,冷水で締めたそばを器へ盛り、濃いめのつゆへつけて食べるスタイル。もり、ざる、せいろの区別は時代・店によって異なる。,温かいつゆをかけるかけそばと区別するため、つけて食べるそばをもりそばと呼ぶようになったと説明される。現代は海苔の有無などでざると分ける例もあるが統一規則ではない。,のり、器、つゆの甘さ・濃さ、そば粉比率、わさび、そば湯など店ごとの差がある。,そば・小麦・大豆・魚介を含むことが多い。のり、わさび等も確認が必要。,5.0,2.5,0.7,,jp-style-soba-kake|jp-style-soba-tempura,jp-style-udon-zaru|jp-style-udon-bukkake,src-standard-soba-general|src-standard-mori-soba|src-standard-zaru-soba,reviewed,2026-08-10,editorial_source_review_v1,もり・ざるそば もりそば ざるそば せいろそば soba cold dipping rinsed noodle_aroma classic mori_zaru もりそば ざるそば せいろ 冷たいそば 定番そば 定番スタイル
jp-style-soba-tempura,soba-tempura,天ぷらそば,,,JP,,,,,,japan,soba,standard,published,soup,そば粉|小麦粉（配合は製品・店による）,細めから中太のそば,かつお節|昆布|さば節等,醤油|みりん|砂糖|塩,えび・魚・野菜等の天ぷら|ねぎ|七味,tempura|hot_soup_common|fried_topping|dashi|rich,天ぷらそば|天そば|えび天|定番そば,かけそば、または冷たいそばへ天ぷらを組み合わせる定番スタイル。温かいそばにえび天をのせる形がよく知られる。,だしつゆとそばに、揚げ物の油、香ばしさ、具材のうま味を加える派生として定着した。,温冷、えび・魚・野菜、衣、別添え・のせる形、つゆへの油の移り方は店で異なる。,そば・小麦・大豆・魚介を含むことが多い。えび、卵、乳等は天ぷらと衣で異なる。,4.8,2.8,0.9,,jp-style-soba-kake|jp-style-soba-mori-zaru,,src-standard-soba-general|src-standard-tempura-soba,reviewed,2026-08-10,editorial_source_review_v1,天ぷらそば soba tempura hot_soup_common fried_topping dashi rich 天ぷらそば 天そば えび天 定番そば 定番スタイル
jp-style-soba-kamo-nanban,soba-kamo-nanban,鴨南蛮そば,,,JP,,,,,,japan,soba,standard,published,soup,そば粉|小麦粉（配合は製品・店による）,細めから中太のそば,かつお節等の和風だし|鴨のうま味,醤油|みりん|砂糖|塩,鴨肉|長ねぎ|三つ葉|七味等,duck|grilled_leek|hot_soup|animal_umami|dashi|nanban,鴨南蛮|鴨そば|長ねぎ|南蛮そば|定番そば,温かいそばつゆへ鴨肉と長ねぎを合わせる定番そば。鴨の脂とうま味、焼いたねぎの香ばしさがだしへ重なる。,南蛮そばの代表的な形として知られ、鴨肉とねぎを焼いて温かいつゆへ加える構成が広く定着している。,合鴨・鴨、肉の焼き方、ねぎ、甘さ、温そば・つけそば、鴨油の量は店で異なる。,そば・小麦・大豆・鴨肉・魚介を含むことが多い。,4.8,3.8,1.5,,jp-style-soba-kake,,src-standard-soba-general|src-standard-kamo-nanban|src-standard-nanban-explainer,reviewed,2026-08-10,editorial_source_review_v1,鴨南蛮そば soba duck grilled_leek hot_soup animal_umami dashi nanban 鴨南蛮 鴨そば 長ねぎ 南蛮そば 定番そば 定番スタイル
jp-style-yakisoba-sauce,yakisoba-sauce,ソース焼きそば,,,JP,,,,,,japan,yakisoba,standard,published,fried,小麦粉|かんすい|食塩,中太を中心とする蒸し中華麺,,ウスター系ソース|中濃ソース|醤油等,豚肉|キャベツ|もやし|にんじん|青のり|紅しょうが等,worcestershire_sauce|fried|vegetables|pork_common|roasted|classic,ソース焼きそば|焼そば|ウスターソース|定番焼きそば,蒸し中華麺を肉や野菜と炒め、ウスター系のソースで仕上げる、日本で広く親しまれる焼きそばの基本形。,中華麺を鉄板・フライパンで炒め、日本のソース文化と結び付いて定番化した。家庭、屋台、祭り、食堂で幅広く食べられる。,ソースの甘さ・酸味・香辛料、麺、油、肉、野菜、青のり、紅しょうが、焼き付けは店・家庭で異なる。,小麦・大豆を含むことが多い。豚肉、魚介、りんご、乳、卵等はソースと具材で異なる。,4.7,2.3,0.8,,jp-style-yakisoba-salt|jp-style-yakisoba-ankake,jp-style-ramen-aburasoba-mazesoba,src-standard-chinese-noodle|src-standard-sauce-yakisoba,reviewed,2026-08-10,editorial_source_review_v1,ソース焼きそば yakisoba worcestershire_sauce fried vegetables pork_common roasted classic ソース焼きそば 焼そば ウスターソース 定番焼きそば 定番スタイル
jp-style-yakisoba-salt,yakisoba-salt,塩焼きそば,,,JP,,,,,,japan,yakisoba,standard,published,fried,小麦粉|かんすい|食塩,中太を中心とする蒸し中華麺,,塩|こしょう|白だし・鶏がら・レモン等（料理による）,豚肉または魚介|キャベツ|ねぎ|もやし|にんにく等,salt_seasoning|fried|light_color|roasted|garlic_optional|seafood_or_meat,塩焼きそば|塩味焼きそば|白だし焼きそば|定番焼きそば,濃色のソースを使わず、塩、こしょう、だし、鶏がら、にんにく等で仕上げる焼きそば。具材の味と香ばしさが伝わりやすい。,焼きそばの味付けの一類型として家庭・外食で定着し、肉、魚介、野菜、レモン、白だしなど幅広い組み合わせがある。,塩だけの軽い味から、鶏がら、白だし、魚介、にんにく、ごま油を強く使う形まで幅が大きい。,小麦を含む。大豆、豚・鶏、魚介、ごま、乳等は調味料と具材で異なる。,3.8,2.8,1.0,,jp-style-yakisoba-sauce|jp-style-yakisoba-ankake,,src-standard-chinese-noodle|src-standard-salt-yakisoba,reviewed,2026-08-10,editorial_source_review_v1,塩焼きそば yakisoba salt_seasoning fried light_color roasted garlic_optional seafood_or_meat 塩焼きそば 塩味焼きそば 白だし焼きそば 定番焼きそば 定番スタイル
jp-style-yakisoba-ankake,yakisoba-ankake,あんかけ焼きそば,,五目あんかけ焼きそば,JP,,,,,,japan,yakisoba,standard,published,fried,小麦粉|かんすい|食塩,表面を焼き付けた蒸し中華麺または揚げ麺,鶏|豚|魚介|野菜のスープ,醤油|塩|オイスターソース|砂糖|ごま油等,豚肉|えび・いか等の魚介|白菜・青菜|たけのこ|きくらげ等,starchy_sauce|fried_noodle|vegetables|seafood_or_meat|crispy_soft|rich_umami,あんかけ焼きそば|五目焼きそば|かた焼きそば|定番焼きそば,焼き付けた、または揚げた中華麺へ、肉・魚介・野菜を使うとろみのある熱いあんをかけるスタイル。,中華料理の炒麺・あんかけ麺として日本に定着し、柔らかな麺、香ばしく焼いた麺、揚げ麺など複数の形がある。,麺を焼く・揚げる、あんの色、塩・醤油、具材、酸味・辛子の追加で食感と味が大きく変わる。,小麦・大豆を含むことが多い。えび、いか、豚・鶏、卵、オイスターソース、ごま等は店舗ごとに異なる。,4.1,3.5,1.2,,jp-style-yakisoba-sauce|jp-style-yakisoba-salt,jp-other-nagasaki-saraudon,src-standard-chinese-noodle|src-standard-ankake-yakisoba,reviewed,2026-08-10,editorial_source_review_v1,あんかけ焼きそば 五目あんかけ焼きそば yakisoba starchy_sauce fried_noodle vegetables seafood_or_meat crispy_soft rich_umami あんかけ焼きそば 五目焼きそば かた焼きそば 定番焼きそば 定番スタイル
