source_id,target_id,relation_type,note
jp-style-udon-kake,jp-udon-shippoku,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-udon-yoshida,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kake,jp-style-udon-bukkake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-kake,jp-style-udon-kamaage,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-kake,jp-style-udon-zaru,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-kamaage,jp-udon-goto,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kamaage,jp-udon-hippari,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kamaage,jp-udon-miyazaki-kamaage,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kamaage,jp-udon-sanuki,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-kamaage,jp-style-udon-kake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-kamaage,jp-style-udon-zaru,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-zaru,jp-style-soba-mori-zaru,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-udon-zaru,jp-other-kishimen,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-goto,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-himi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-himokawa,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-inaniwa,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-kazo,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-mizusawa,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-musashino,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-udon-sanuki,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-udon-zaru,jp-style-udon-bukkake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-udon-zaru,jp-style-udon-kamaage,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-yakisoba-ankake,jp-other-nagasaki-saraudon,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-yakisoba-ankake,jp-other-nagasaki-saraudon,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-ankake,jp-yakisoba-otaru-ankake,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-ankake,jp-style-yakisoba-salt,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-yakisoba-ankake,jp-style-yakisoba-sauce,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-yakisoba-salt,jp-yakisoba-itoigawa-black,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-salt,jp-yakisoba-kitami-shio,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-salt,jp-style-yakisoba-ankake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-yakisoba-salt,jp-style-yakisoba-sauce,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-yakisoba-sauce,jp-style-ramen-aburasoba-mazesoba,bridge,麺カテゴリをまたぐ味・構造上の橋渡し
jp-style-yakisoba-sauce,jp-other-kokura-yakiudon,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-other-sayo-horumon-yakiudon,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-other-sobameshi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-other-tsuyama-horumon-udon,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-fujinomiya,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-hiruzen,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-hita,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-ishinomaki,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-itoigawa-black,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-namie,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-ota,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-sechi,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-seto-shoyu,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-yakisoba-yokote,regional_example,調査済みご当地麺データから継承した定番スタイルの具体例
jp-style-yakisoba-sauce,jp-style-yakisoba-ankake,related_style,味・提供形式・調理構造が近い定番スタイル
jp-style-yakisoba-sauce,jp-style-yakisoba-salt,related_style,味・提供形式・調理構造が近い定番スタイル
