dish_id,name,source_ids,fact_basis,taste_basis,range_interpretation,known_uncertainty,review_status,reviewed_at
jp-style-udon-kamaage,釜揚げうどん,src-standard-udon-general|src-standard-kagawa-mainmenu,ゆで上がったうどんを水で締めず、ゆで湯とともに器へ移し、温かいつけだしで食べるスタイル。 冷水で締めないため、表面がやわらかく、ゆでたての小麦の香りとふんわりした食感を味わいやすい。,水で締めないため硬さを低く、麺香を高くし、つけだしの味は中程度に設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,桶・丼、ゆで湯の量、麺の熟成とゆで時間で食感差が大きい。,reviewed,2026-08-10
jp-style-udon-zaru,ざるうどん,src-standard-udon-general|src-standard-kagawa-mainmenu,ゆでたうどんを冷水で締め、ざるなどへ盛り、別添えの濃いめのつゆにつけて食べるスタイル。 冷水で締めることで、コシ、弾力、なめらかさを直接楽しみやすい。薬味はねぎ、しょうが、ごま等が一般的。,冷水で締めた麺の硬さ・なめらかさ・麺香を高くし、つけ汁のたれ感を中高に設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,もり・せいろ等の呼称、のりの有無、つゆの濃さは店で異なる。,reviewed,2026-08-10
jp-style-udon-curry,カレーうどん,src-standard-udon-general|src-standard-curry-udon-history|src-standard-curry-udon-recipe,和風だしとカレーを合わせ、とろみのある汁へうどんを入れる定番スタイル。肉、玉ねぎ、ねぎなどを使う形が多い。 明治以降のカレー普及と麺文化が結び付き、そば店・うどん店で発達した。だしを感じる和風からカレーソースに近い濃厚型まで幅がある。,カレー香辛料、濃厚さ、とろみ、たれ感を高くし、和風だしを明確に残した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,だし中心から洋風ルウ・クリーム系まで幅が非常に大きい。,reviewed,2026-08-10
jp-style-soba-kake,かけそば,src-standard-soba-general|src-standard-tempura-soba,ゆでたそばへ温かいだしつゆをかける、代表的な温そばの基本スタイル。 つゆにつけて食べるそばに対し、丼へ温かいつゆをかける食べ方として定着した。具を加える多くの温そばの土台になる。,温かいだしを軸に、そばの香りと魚介だしを高く、油と刺激を低く設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,つゆの濃さと甘さ、そば粉比率、麺の太さに地域差がある。,reviewed,2026-08-10
jp-style-soba-mori-zaru,もり・ざるそば,src-standard-soba-general|src-standard-mori-soba|src-standard-zaru-soba,冷水で締めたそばを器へ盛り、濃いめのつゆへつけて食べるスタイル。もり、ざる、せいろの区別は時代・店によって異なる。 温かいつゆをかけるかけそばと区別するため、つけて食べるそばをもりそばと呼ぶようになったと説明される。現代は海苔の有無などでざると分ける例もあるが統一規則ではない。,冷水で締めるため麺香と硬さを高く、濃いめのつけつゆのたれ感を高めた。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,もり・ざる・せいろの差は店・時代で変わり、海苔だけでは説明できない場合がある。,reviewed,2026-08-10
jp-style-soba-tempura,天ぷらそば,src-standard-soba-general|src-standard-tempura-soba,かけそば、または冷たいそばへ天ぷらを組み合わせる定番スタイル。温かいそばにえび天をのせる形がよく知られる。 だしつゆとそばに、揚げ物の油、香ばしさ、具材のうま味を加える派生として定着した。,かけそばを基準に、揚げ油・香ばしさ・具材のうま味を上乗せした。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,天ぷらの種類、別添え、温冷で油分と魚介感が大きく変わる。,reviewed,2026-08-10
jp-style-soba-kamo-nanban,鴨南蛮そば,src-standard-soba-general|src-standard-kamo-nanban|src-standard-nanban-explainer,温かいそばつゆへ鴨肉と長ねぎを合わせる定番そば。鴨の脂とうま味、焼いたねぎの香ばしさがだしへ重なる。 南蛮そばの代表的な形として知られ、鴨肉とねぎを焼いて温かいつゆへ加える構成が広く定着している。,かけそばを基準に、鴨の脂・動物系うま味、焼きねぎの香ばしさを高く設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,鴨せいろ、鶏南蛮との境界、肉量、鴨油で味の重さが変わる。,reviewed,2026-08-10
jp-style-yakisoba-sauce,ソース焼きそば,src-standard-chinese-noodle|src-standard-sauce-yakisoba,蒸し中華麺を肉や野菜と炒め、ウスター系のソースで仕上げる、日本で広く親しまれる焼きそばの基本形。 中華麺を鉄板・フライパンで炒め、日本のソース文化と結び付いて定番化した。家庭、屋台、祭り、食堂で幅広く食べられる。,ソース・油・香ばしさを高く、甘味・酸味・香辛料を中程度に設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,粉末・液体ソース、甘口・辛口、麺の焼き方、肉・魚介で幅がある。,reviewed,2026-08-10
jp-style-yakisoba-salt,塩焼きそば,src-standard-chinese-noodle|src-standard-salt-yakisoba,濃色のソースを使わず、塩、こしょう、だし、鶏がら、にんにく等で仕上げる焼きそば。具材の味と香ばしさが伝わりやすい。 焼きそばの味付けの一類型として家庭・外食で定着し、肉、魚介、野菜、レモン、白だしなど幅広い組み合わせがある。,ソース焼きそばより甘味・酸味・ソース感を下げ、塩味と香ばしさを維持した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,塩だれ、白だし、鶏がら、魚介、ごま油で方向性が変わる。,reviewed,2026-08-10
jp-style-yakisoba-ankake,あんかけ焼きそば,src-standard-chinese-noodle|src-standard-ankake-yakisoba,焼き付けた、または揚げた中華麺へ、肉・魚介・野菜を使うとろみのある熱いあんをかけるスタイル。 中華料理の炒麺・あんかけ麺として日本に定着し、柔らかな麺、香ばしく焼いた麺、揚げ麺など複数の形がある。,とろみあんのうま味・たれ感を高く、麺の焼き付けによる香ばしさを中程度に設定した。,定番スタイルは一つの固定レシピではないため、typicalは代表的な中心像、min/maxはたれ、だし、油、具材、麺、地域・店舗差を含む広い編集範囲として設定した。,焼き麺・揚げ麺・柔らかい麺、塩あん・醤油あん、具材で幅が大きい。,reviewed,2026-08-10
