id,title,publisher,url,kind,note,visibility,checked_at
src-jp-soba-tachi-2,そば処 曲家,農林水産省 里の物語,https://satomono.jp/restaurant/07368/8850/,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-taishu-1,対州そば 地理的表示登録,農林水産省,https://www.maff.go.jp/j/shokusan/gi_act/register/0061/index.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-taishu-2,対州そば 登録産品情報,日本地理的表示協議会 GI産品情報発信サイト,https://pd.jgic.jp/register/entry/61.html,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-takato-1,高遠そば,伊那市,https://www.inacity.jp/kankojoho/taberu_kau/174kake20221124.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-takato-2,高遠そば,伊那谷観光局,https://www.inadanikankou.jp/spot/page/id=2087,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-togakushi-1,手打ちそば 長野県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/teuchi_soba_nagano.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-togakushi-2,戸隠そば 信州そば,公益財団法人日本交通公社 全国観光資源台帳,https://tabi.jtb.or.jp/res/200001-,professional_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-toji-1,とうじそば,松本市・松本広域観光情報 Discover Matsumoto,https://discover-matsumoto-area.com/spot/208,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-toji-2,奈川そばの里,ふるさと奈川,https://sobanosato.furusatonagawa.com/,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-tsugaru-1,熟成させる幻のそば 津軽そば,青森県観光情報サイト Amazing AOMORI,https://aomori-tourism.com/blog/2006/03/1232.html,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-tsugaru-2,津軽そば,津軽藩ねぷた村 かだれ横丁,https://kadaregekijo.com/soba/,producer_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-tsumetai-niku-1,冷たい肉そば,河北町,https://www.town.kahoku.yamagata.jp/soshiki/shoko/kankousinkou/3341/672.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-tsumetai-niku-2,河北町の名物グルメ 冷たい肉そば,やまがたへの旅,https://yamagatakanko.com/yamagatabi-37,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-wanko-1,わんこそば,花巻市,https://www.city.hanamaki.iwate.jp/kanko/location/spot/1015198/1000660.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-soba-wanko-2,わんこそば 盛岡,岩手県飲食業生活衛生同業組合,https://zeninren-63.iwate-inshoku.jp/gourmet/517/,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-goto-1,地獄炊き 五島うどん 長崎県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/46_12_nagasaki.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-goto-2,五島手延うどん 地域団体商標,特許庁,https://www.jpo.go.jp/system/trademark/gaiyo/chidan/shoukai/ichiran/5079156.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-hakata-1,ニッポン麺探訪 博多うどん,農林水産省 aff,https://www.maff.go.jp/j/pr/aff/1701/n_search.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-hakata-2,博多うどん,福岡県観光連盟 クロスロードふくおか,https://www.crossroadfukuoka.jp/spot/11376,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-himi-1,氷見のうどん,農林水産省 にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/himi_no_udon.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-himi-2,氷見うどんについて,海津屋,https://kaizuya.co.jp/about/,producer_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-himokawa-1,群馬のうどん,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/32_11_gunma.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-himokawa-2,ひもかわ 桐生発祥グルメ,桐生観光情報サイト シルクル桐生,https://kiryu-walker.net/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-hippari-1,ひっぱりうどん,山形市,https://www.city.yamagata-yamagata.lg.jp/kenkofukushi/iryou/shokuiku/1003317/1007213/1003379.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-hippari-2,山形の食文化,VISIT YAMAGATA,https://www.visityamagata.jp/about/taste/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-inaniwa-1,第284号 稲庭うどん,農林水産省,https://www.maff.go.jp/j/shokusan/gi_act/notice/pnFact/0284_index.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-inaniwa-2,稲庭うどん,公益財団法人日本交通公社 全国観光資源台帳,https://tabi.jtb.or.jp/res/050026-,professional_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-ise-1,伊勢うどん,農林水産省 にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/ise_udon.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-ise-2,伊勢うどん 地域団体商標,特許庁,https://www.jpo.go.jp/system/trademark/gaiyo/chidan/shoukai/ichiran/5113864.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-kazo-1,加須うどん,加須市,https://www.city.kazo.lg.jp/kanko_sports/kanko/2/1/34789.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-kazo-2,加須のうどん,加須市物産観光協会,https://www.kazo-tourism.or.jp/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-mimi-1,耳うどん 栃木県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_2_tochigi.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-mimi-2,耳うどん作り体験,栃木県観光物産協会 とちぎ旅ネット,https://www.tochigiji.or.jp/spot/s9621/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-miyazaki-kamaage-1,宮崎のうどん名店ガイド,宮崎市観光協会,https://www.miyazaki-city.tourism.or.jp/feature/miyazaki_udon,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-miyazaki-kamaage-2,宮崎県で食べたいグルメ,宮崎県観光協会,https://www.kanko-miyazaki.jp/gourmet/gourmet,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-mizusawa-1,水沢うどん,渋川市観光情報,https://www.city.shibukawa.lg.jp/kankou-site/kankou/000397/000398/p015102.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-mizusawa-2,水沢うどん田丸屋について,水沢うどん田丸屋,https://tamaruya-udon.jp/pages/about,producer_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-musashino-1,うどんが広げる埼玉の魅力,財務省 広報誌ファイナンス,https://www.mof.go.jp/public_relations/finance/202605/202605j.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-musashino-2,企画展 武蔵野のうどん,武蔵野市立武蔵野ふるさと歴史館,https://www.city.musashino.lg.jp/heiwa_bunka_sports/furusatorekishikan/oshirase_h30/1019337.html,museum_or_library,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-naruchuru-1,鳴門のソウルフード 鳴ちゅるうどん,鳴門市うずしお観光協会,https://naruto-tourism.jp/jp/27190,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-naruchuru-2,鳴門の食・特産品,鳴門市うずしお観光協会,https://naruto-tourism.jp/jp/eating,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-okkirikomi-1,おきりこみ・おっきりこみ 群馬県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/32_1_gunma.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-okkirikomi-2,おきりこみ 群馬県,農林水産省 子どもの食育,https://www.maff.go.jp/j/syokuiku/kodomo_navi/cuisine/cuisine2_3.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-saiki-gomadashi-1,ごまだし 大分県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/gomadashi_oita.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-saiki-gomadashi-2,佐伯ごまだし暖簾会 食べ歩きまっぷ,佐伯市観光協会,https://cms.visit-saiki.jp/spots/detail/5253ab08-414a-4a38-8ddc-b1dad82444c7,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-sanuki-1,讃岐うどん,香川県観光協会 うどん県旅ネット,https://www.my-kagawa.jp/udon,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-sanuki-2,香川の讃岐うどん,公益財団法人日本交通公社 全国観光資源台帳,https://tabi.jtb.or.jp/res/370001-,professional_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-shippoku-1,しっぽくうどん 香川県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sippoku_udon_kagawa.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-shippoku-2,受け継がれる郷土の味覚,香川県観光協会 うどん県旅ネット,https://www.my-kagawa.jp/gourmet/feature/gourmet/taste,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-yoshida-1,吉田のうどん 山梨県,農林水産省 うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/yoshida_no_udon_yama_nashi.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-udon-yoshida-2,吉田のうどん,農林水産省 にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/yosidano_udon.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-fujinomiya-1,富士宮やきそば,富士宮市,https://www.city.fujinomiya.lg.jp/1025110000/p001736.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-fujinomiya-2,富士宮やきそばについて,富士宮やきそば学会,https://umya-yakisoba.com/aboutus/,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-hiruzen-1,ひるぜん焼そば,岡山県観光連盟 晴れの国おかやま館,https://www.okayamakan.or.jp/products/detail/1788,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-hiruzen-2,ひるぜん焼そば,ひるぜん焼そば好いとん会,https://www.hiruzen.info/,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-hita-1,日田やきそば,ツーリズムおおいた,https://www.visit-oita.jp/spots/detail/9207,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-hita-2,日田やきそば特集,ツーリズムおおいた,https://www.visit-oita.jp/magazines/detail/603,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-ishinomaki-1,石巻焼きそば,石巻市,https://www.city.ishinomaki.lg.jp/cont/10452000b/-kanko/1006/20130225203730.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-ishinomaki-2,石巻の食文化,石巻観光協会,https://www.i-kanko.com/aboutcity/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-itoigawa-black-1,糸魚川ブラック焼きそば,糸魚川市観光協会,https://www.itoigawa-kanko.net/foods/blackyakisoba/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-itoigawa-black-2,糸魚川の食,糸魚川市観光協会,https://www.itoigawa-kanko.net/foods/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-kitami-shio-1,オホーツク北見塩やきそば,北見市観光協会,https://kitamikanko.jp/spot/166/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-kitami-shio-2,北見産たまねぎ・地域農産物情報,JAきたみらい,https://www.jakitamirai.or.jp/tsushin/products/8201/,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-namie-1,なみえ焼そば 地域団体商標,特許庁,https://www.jpo.go.jp/system/trademark/gaiyo/chidan/shoukai/ichiran/5934383.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-namie-2,なみえ焼そば,浪江町観光協会,https://namie-kanko.jp/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-ota-1,上州太田焼そば,群馬県観光物産国際協会 心にググっと観光ぐんま,https://gunma-kanko.jp/features/249,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-ota-2,太田市の名物 焼そば,太田市観光物産協会,https://www.ota-kanko.jp/gourmet/meibutsu/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-otaru-ankake-1,小樽あんかけ焼そば,小樽市,https://www.city.otaru.lg.jp/docs/2020100700936/,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-otaru-ankake-2,小樽あんかけ焼そば 100年フード認定,小樽観光協会 おたるぽーたる,https://otaru.gr.jp/tourist/bunkatilyu100nennfoodninteiotaruankakeyakisoba,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-sechi-1,せち焼き,和歌山県公式観光サイト,https://www.wakayama-kanko.or.jp/features/detail_507.html,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-sechi-2,せち焼きとは,御坊せち焼きの店 やました,https://www.setiyaki.com/setiyaki,producer_reference,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-seto-shoyu-1,瀬戸しょうゆ焼そば,瀬戸焼そばアカデミー,https://rieusa.jp/,industry_association,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-seto-shoyu-2,瀬戸の食・観光情報,瀬戸市まるっとミュージアム・観光協会,https://www.seto-marutto.info/2024/06/20/8362/,official_tourism,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-yokote-1,横手やきそば,横手市,https://www.city.yokote.lg.jp/kanko/1001536/1004609.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-jp-yakisoba-yokote-2,横手やきそば 地域団体商標,特許庁,https://www.jpo.go.jp/system/trademark/gaiyo/chidan/shoukai/ichiran/5546212.html,official_government,料理の地域性、由来、材料、提供形式の確認に使用,public,
src-standard-ankake-yakisoba,かきと青梗菜のあんかけ焼きそば,全国製麺協同組合連合会,https://www.zenmenren.or.jp/cooking/01/01-02.html,industry_association,焼き付けた蒸し中華麺へ、肉・魚介・野菜のとろみあんをかける構造の確認,public,2026-08-10
src-standard-aomori-niboshi,津軽煮干しラーメン,青森県観光情報サイト Amazing AOMORI,https://aomori-tourism.com/photos/detail_80.html,official_tourism,大量の煮干し・焼き干しを用いる煮干しラーメンの魚介感と地域差の確認,public,2026-08-10
src-standard-bukkake-recipe,全国製麺協同組合連合会 ぶっかけうどん料理例,全国製麺協同組合連合会,https://zenmenren.or.jp/recipe/02/02-07.html,industry_association,冷水で締めた麺へ濃いめのつゆを直接かける構成の補足,public,2026-08-10
src-standard-chinese-noodle,中華めん,全国製麺協同組合連合会,https://zenmenren.or.jp/raw_noodle_iroiro/chinese_noodle/,industry_association,中華麺の原料、かんすい、ラーメン・焼きそば・つけ麺・油そばの位置づけ,public,2026-08-10
src-standard-curry-udon-history,カレーうどん,全国製麺協同組合連合会,https://www.zenmenren.or.jp/meisan/men_c/curry.html,industry_association,カレーうどんの歴史と日本の麺料理としての位置づけ,public,2026-08-10
src-standard-curry-udon-recipe,カレーうどん料理例,全国製麺協同組合連合会,https://zenmenren.or.jp/recipe/16/08.html,industry_association,だし、カレー、肉・野菜を組み合わせる典型的な調理構成の確認,public,2026-08-10
src-standard-ganja-history,つけ麺の歴史を変えた川越の銘店「頑者」,新横浜ラーメン博物館,https://www.raumen.co.jp/information/news_001526.html,professional_reference,特製もりそばから現代つけ麺へ至る歴史と味の強さの確認,public,2026-08-10
src-standard-ganja-tsukemen,埼玉川越「頑者」,新横浜ラーメン博物館,https://www.raumen.co.jp/shop/ganja-raumen.html,professional_reference,極太麺、濃厚つけだれ、魚粉という現代的つけ麺の代表構造の確認,public,2026-08-10
src-standard-kagawa-mainmenu,おさえておきたい主なメニュー,香川県観光協会 うどん県旅ネット,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,official_tourism,かけ、ぶっかけ、ざる、釜あげの提供方法と食感の違いの確認,public,2026-08-10
src-standard-kamo-nanban,鴨南蛮そば,株式会社にんべん,https://www.ninben.co.jp/recipe/4085/,producer_reference,鴨肉、焼きねぎ、温かいつゆを合わせる鴨南蛮の典型構成の確認,public,2026-08-10
src-standard-kofu-tori-paitan,麺屋 甲武信,甲府市観光協会,https://kofu-tourism.com/gourmet/526,official_tourism,鶏ガラ・国産鶏を煮込む濃厚鶏白湯と醤油・塩だれの幅の確認,public,2026-08-10
src-standard-kurume-tonkotsu,Kurume Ramen,福岡県観光連盟 VISIT FUKUOKA,https://www.crossroadfukuoka.jp/en/spot/12924,official_tourism,豚骨ラーメンの白濁したスープと豚の風味、久留米との関係の確認,public,2026-08-10
