id,name,local_name,aliases,country_code,prefecture_codes,region_codes,city,lat,lon,domain,noodle_category,cultural_scope,publication_status,form,noodle_materials,noodle_shape,broth_bases,seasonings,keywords,summary,background,variation,parent_style_ids,public_source_ids,verification_level,reviewed_at,ingredients,tags,allergen_note,tradition,uniqueness,adventure,score_method,slug
jp-034,酒田ラーメン,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,醤油|魚介|自家製麺文化,,,,,,
jp-035,からみそラーメン,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-036,とりもつラーメン,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,offal,,,,,jra-2025|epsilon-method,basic,2026-08-04,,もつ,,,,,,
jp-037,鳥中華,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,wa_dashi,,,,,jra-2025|epsilon-method,basic,2026-08-04,,和風だし,,,,,,
jp-038,鶴岡節系ラーメン,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,fish_flake,,,,,jra-2025|epsilon-method,basic,2026-08-04,,節系,,,,,,
jp-039,馬肉チャーシューラーメン,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-040,米沢ラーメン,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,soup,wheat,多加水の細い手もみ縮れ麺,鶏ガラ|豚骨|煮干し,醤油だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-yonezawa,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ|なると|のり,醤油|細麺|あっさり,,,,,,
jp-041,肉中華,,,JP,06,tohoku,,38.24,140.36,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-042,喜多方ラーメン,,,JP,07,tohoku,,37.75,140.47,japan,ramen,regional,published,soup,wheat,太めの多加水平打ち縮れ麺,豚骨|鶏ガラ|煮干し,醤油だれ,flat_noodle,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-kitakata,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ,平打ち麺|醤油|多加水の縮れ麺,,,,,,
jp-043,白河ラーメン,,,JP,07,tohoku,,37.75,140.47,japan,ramen,regional,published,soup,wheat,多加水の幅広い手打ち・手もみ縮れ麺,豚骨|鶏ガラ,醤油だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-shirakawa,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ|なると|ほうれん草,醤油|手打ち・手もみ|手打ちの縮れ麺,,,,,,
jp-044,会津ラーメン,,,JP,07,tohoku,,37.75,140.47,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-045,奥州郡山とんこつラーメン,,,JP,07,tohoku,,37.75,140.47,japan,ramen,regional,published,,wheat,,,,tonkotsu,,,,,jra-2025|epsilon-method,basic,2026-08-04,,豚骨|濃厚,,,,,,
jp-046,郡山ブラックラーメン,,,JP,07,tohoku,,37.75,140.47,japan,ramen,regional,published,,wheat,,,,dark_soy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,濃口醤油|濃い色,,,,,,
jp-047,会津野沢宿味噌ラーメン,,,JP,07,tohoku,,37.75,140.47,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-048,福島鶏白湯,,,JP,07,tohoku,,37.75,140.47,japan,ramen,regional,published,,wheat,,,,chicken_paitan|chicken,,,,,jra-2025|epsilon-method,basic,2026-08-04,,鶏白湯|まろやか|鶏,,,,,,
jp-049,スタミナラーメン,,,JP,08,kanto,,36.34,140.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-050,水戸藩ラーメン,,,JP,08,kanto,,36.34,140.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-051,下館ラーメン,,,JP,08,kanto,,36.34,140.45,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-052,豆腐味噌ラーメン,,,JP,08,kanto,,36.34,140.45,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-053,佐野ラーメン,,,JP,09,kanto,,36.57,139.88,japan,ramen,regional,published,soup,wheat,青竹打ちの高加水平打ち麺,鶏ガラ|豚骨|魚介（店による）,醤油だれ,hand_cut,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-sano,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ|なると,手打ち・手もみ,,,,,,
jp-054,夕顔ラーメン,,,JP,09,kanto,,36.57,139.88,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-055,スープ入り焼きそば,,,JP,09,kanto,,36.57,139.88,japan,yakisoba,regional,published,,wheat,,,,fried,,,,,jra-2025|epsilon-method,basic,2026-08-04,,焼き・炒め,,,,,,
jp-056,藤岡ラーメン,,,JP,10,kanto,,36.39,139.06,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-057,東毛手延べラーメン,,,JP,10,kanto,,36.39,139.06,japan,ramen,regional,published,,wheat,,,,hand_stretched,,,,,jra-2025|epsilon-method,basic,2026-08-04,,手延べ麺,,,,,,
jp-058,竹岡式ラーメン,,,JP,12,kanto,,35.61,140.12,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,濃口醤油|濃い色|チャーシュー煮汁を生かす醤油味,,,,,,
jp-059,勝浦タンタンメン,,,JP,12,kanto,,35.61,140.12,japan,ramen,regional,published,,wheat,,,,spicy|tanmen,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料|野菜|塩味|ラー油,,,,,,
jp-060,アリランラーメン,,,JP,12,kanto,,35.61,140.12,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料|にんにく|濃口醤油|濃い色,,,,,,
jp-061,船橋ソースラーメン,,,JP,12,kanto,,35.61,140.12,japan,ramen,regional,published,,wheat,,,,sauce,,,,,jra-2025|epsilon-method,basic,2026-08-04,,ソース,,,,,,
jp-062,もばらーめん,,,JP,12,kanto,,35.61,140.12,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-063,ホワイトガウラーメン,,,JP,12,kanto,,35.61,140.12,japan,ramen,regional,published,,wheat,,,,milk,,,,,jra-2025|epsilon-method,basic,2026-08-04,,乳製品|まろやか,,,,,,
jp-064,小見川カレー焼きそば,,,JP,12,kanto,,35.61,140.12,japan,yakisoba,regional,published,,wheat,,,,curry|fried,,,,,jra-2025|epsilon-method,basic,2026-08-04,,カレー|香辛料|焼き・炒め,,,,,,
jp-065,スタミナラーメン,,,JP,11,kanto,,35.86,139.65,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-066,豆腐ラーメン,,,JP,11,kanto,,35.86,139.65,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-067,酒粕味噌ラーメン,,,JP,11,kanto,,35.86,139.65,japan,ramen,regional,published,,wheat,,,,miso|sake_lees,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク|酒粕|発酵,,,,,,
jp-068,茶ラーメン,,,JP,11,kanto,,35.86,139.65,japan,ramen,regional,published,,wheat,,,,tea,,,,,jra-2025|epsilon-method,basic,2026-08-04,,茶,,,,,,
jp-069,東京ラーメン,,,JP,13,kanto,,35.68,139.76,japan,ramen,regional,published,soup,wheat,中細〜中太の縮れまたはストレート麺,鶏ガラ|豚骨|和風だし,醤油だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-tokyo,reviewed,2026-08-10,ねぎ|チャーシュー|なると|ほうれん草|メンマ,醤油|淡麗|澄んだスープ,,,,,,
jp-070,荻窪ラーメン,,,JP,13,kanto,,35.68,139.76,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,醤油|煮干し,,,,,,
jp-071,油そば,,,JP,13,kanto,,35.68,139.76,japan,ramen,regional,published,,wheat,,,,dry,,,,,jra-2025|epsilon-method,basic,2026-08-04,,汁なし,,,,,,
jp-072,つけ麺,,,JP,13,kanto,,35.68,139.76,japan,ramen,regional,published,,wheat,,,,dipping,,,,,jra-2025|epsilon-method,basic,2026-08-04,,つけ麺,,,,,,
jp-073,八王子ラーメン,,,JP,13,kanto,,35.68,139.76,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,醤油,,,,,,
jp-074,背脂ラーメン,,,JP,13,kanto,,35.68,139.76,japan,ramen,regional,published,,wheat,,,,backfat,,,,,jra-2025|epsilon-method,basic,2026-08-04,,背脂|油のコク,,,,,,
jp-075,家系ラーメン,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,soup,wheat,コシのある太めのストレート麺,豚骨|鶏ガラ,醤油だれ,iekei,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-yokohama,reviewed,2026-08-10,チャーシュー|ほうれん草|のり|ねぎ,豚骨醤油|太めの麺,,,,,,
jp-076,サンマーメン,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-077,ニュータンタンメン,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,spicy|tanmen,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料|野菜|塩味,,,,,,
jp-078,平塚系タンメン,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,tanmen,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|塩味,,,,,,
jp-079,小田原系ラーメン,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-080,三崎まぐろラーメン,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,tuna,,,,,jra-2025|epsilon-method,basic,2026-08-04,,まぐろ,,,,,,
jp-081,小田原タンタン麺,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,spicy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料,,,,,,
jp-082,神奈川淡麗系,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,clear,,,,,jra-2025|epsilon-method,basic,2026-08-04,,淡麗|澄んだスープ,,,,,,
jp-083,アホーメン,,,JP,14,kanto,,35.45,139.64,japan,ramen,regional,published,,wheat,,,,garlic,,,,,jra-2025|epsilon-method,basic,2026-08-04,,にんにく,,,,,,
jp-084,新潟あっさり醤油ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,soy|light,,,,,jra-2025|epsilon-method,basic,2026-08-04,,醤油|あっさり,,,,,,
jp-085,新潟濃厚味噌ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,miso|rich,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク|濃厚,,,,,,
jp-086,長岡生姜醤油ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,soy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,醤油|生姜,,,,,,
jp-087,燕背脂ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,backfat,,,,,jra-2025|epsilon-method,basic,2026-08-04,,背脂|油のコク|煮干し|醤油,,,,,,
jp-088,三条カレーラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,curry,,,,,jra-2025|epsilon-method,basic,2026-08-04,,カレー|香辛料,,,,,,
jp-089,三条っ子ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-090,見附へそラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-091,上越とん汁ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-092,もつラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,offal,,,,,jra-2025|epsilon-method,basic,2026-08-04,,もつ,,,,,,
jp-093,冷丼,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,cold,,,,,jra-2025|epsilon-method,basic,2026-08-04,,冷製|さっぱり,,,,,,
jp-094,上越味噌ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-095,麻婆ラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,spicy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料,,,,,,
jp-096,上越雪むろ酒かすラーメン,,,JP,15,chubu,,37.9,139.02,japan,ramen,regional,published,,wheat,,,,sake_lees,,,,,jra-2025|epsilon-method,basic,2026-08-04,,酒粕|発酵,,,,,,
jp-097,富山ブラックラーメン,,,JP,16,chubu,,36.7,137.21,japan,ramen,regional,published,,wheat,,,,dark_soy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,濃口醤油|濃い色|強めの塩味,,,,,,
jp-098,入善ブラウンラーメン,,,JP,16,chubu,,36.7,137.21,japan,ramen,regional,published,,wheat,,,,regional_color,,,,,jra-2025|epsilon-method,basic,2026-08-04,,地域独自の色名,,,,,,
jp-099,高岡グリーンラーメン,,,JP,16,chubu,,36.7,137.21,japan,ramen,regional,published,,wheat,,,,regional_color,,,,,jra-2025|epsilon-method,basic,2026-08-04,,地域独自の色名,,,,,,
jp-100,おやべホワイトラーメン,,,JP,16,chubu,,36.7,137.21,japan,ramen,regional,published,,wheat,,,,milk,,,,,jra-2025|epsilon-method,basic,2026-08-04,,乳製品|まろやか,,,,,,
jp-101,UFOラーメン,,,JP,17,chubu,,36.59,136.63,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-102,加賀味噌ラーメン,,,JP,17,chubu,,36.59,136.63,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-103,敦賀ラーメン,,,JP,18,chubu,,36.07,136.22,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-104,たけふ駅前中華そば,,,JP,18,chubu,,36.07,136.22,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-105,平打ちタンメン,,,JP,19,chubu,,35.66,138.57,japan,ramen,regional,published,,wheat,,,,tanmen|flat_noodle,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|塩味|平打ち麺,,,,,,
jp-106,甲州地どりラーメン,,,JP,19,chubu,,35.66,138.57,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-107,やまなし源水ラーメン,,,JP,19,chubu,,35.66,138.57,japan,ramen,regional,published,,wheat,,,,clear,,,,,jra-2025|epsilon-method,basic,2026-08-04,,淡麗|澄んだスープ,,,,,,
jp-108,安養寺ラーメン,,,JP,20,chubu,,36.65,138.18,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-109,王様中華そば,,,JP,20,chubu,,36.65,138.18,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-110,ローメン,,,JP,20,chubu,,36.65,138.18,japan,other,regional,published,,wheat,,,,steamed_noodle,,,,,jra-2025|epsilon-method,basic,2026-08-04,,蒸し麺,,,,,,
jp-111,信州味噌ラーメン,,,JP,20,chubu,,36.65,138.18,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-112,高山ラーメン,,,JP,21,chubu,,35.39,136.72,japan,ramen,regional,published,soup,wheat,細い縮れ麺,鶏ガラ|煮干し|かつお節|野菜,醤油|みりん,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-takayama,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ,醤油|あっさり,,,,,,
jp-113,神岡ラーメン,,,JP,21,chubu,,35.39,136.72,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-114,溶き味噌ラーメン,,,JP,22,chubu,,34.98,138.38,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-115,清水もつカレーラーメン,,,JP,22,chubu,,34.98,138.38,japan,ramen,regional,published,,wheat,,,,curry|offal,,,,,jra-2025|epsilon-method,basic,2026-08-04,,カレー|香辛料|もつ,,,,,,
jp-116,志太系ラーメン,,,JP,22,chubu,,34.98,138.38,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-117,富士つけナポリタン,,,JP,22,chubu,,34.98,138.38,japan,other,regional,published,,wheat,,,,tomato,,,,,jra-2025|epsilon-method,basic,2026-08-04,,トマト,,,,,,
jp-118,台湾ラーメン,,,JP,23,chubu,,35.18,136.91,japan,ramen,regional,published,,wheat,,,,spicy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料|にんにく,,,,,,
jp-119,台湾まぜそば,,,JP,23,chubu,,35.18,136.91,japan,ramen,regional,published,,wheat,,,,spicy|dry,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料|汁なし|にんにく,,,,,,
jp-120,好来系ラーメン,,,JP,23,chubu,,35.18,136.91,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-121,ベトコンラーメン,,,JP,23,chubu,,35.18,136.91,japan,ramen,regional,published,,wheat,,,,garlic,,,,,jra-2025|epsilon-method,basic,2026-08-04,,にんにく,,,,,,
jp-122,玉子とじラーメン,,,JP,23,chubu,,35.18,136.91,japan,ramen,regional,published,,wheat,,,,egg,,,,,jra-2025|epsilon-method,basic,2026-08-04,,卵,,,,,,
jp-123,亀山ラーメン,,,JP,24,kinki,,34.73,136.51,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-124,京都ラーメン,,,JP,26,kinki,,35.02,135.76,japan,ramen,regional,published,soup,wheat,中くらいのストレート麺,豚|鶏|背脂（系統による）,濃口醤油,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-kyoto,reviewed,2026-08-10,ねぎ|チャーシュー|メンマ|もやし,豚骨醤油|背脂|油のコク|鶏・豚の濃いだし,,,,,,
jp-125,京風ラーメン,,,JP,26,kinki,,35.02,135.76,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,淡麗|澄んだスープ|和風だし|穏やかな味,,,,,,
