dish_id,dish_name,facet_id,facet_label_ja,group_id,source,confidence,display_eligible,evidence
jp-010,旭川ホルメン,offal,もつ・ホルモン,ingredient,structured_field,0.86,true,name_explicit:もつ・ホルモン
jp-010,旭川ホルメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-010,旭川ホルメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-011,ガタタンラーメン,vegetables,野菜が多い,ingredient,structured_field,0.86,true,name_explicit:野菜系
jp-011,ガタタンラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-012,稚内ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-013,利尻ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-014,津軽中華そば,soy_sauce,醤油系,broth_seasoning,structured_field,0.86,true,name_explicit:醤油系
jp-014,津軽中華そば,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-015,味噌カレー牛乳ラーメン,miso,味噌系,broth_seasoning,structured_field,0.86,true,name_contains:味噌
jp-015,味噌カレー牛乳ラーメン,curry,カレー系,broth_seasoning,structured_field,0.86,true,name_contains:カレー
jp-015,味噌カレー牛乳ラーメン,dairy,乳製品,ingredient,structured_field,0.86,true,name_explicit:乳製品
jp-015,味噌カレー牛乳ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-015,味噌カレー牛乳ラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-015,味噌カレー牛乳ラーメン,spicy,辛い・香辛料が効く,taste_aroma,legacy_tag,0.88,true,legacy_tag:香辛料
jp-015,味噌カレー牛乳ラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.86,true,name_contains:味噌
jp-016,濃厚津軽煮干しラーメン,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-016,濃厚津軽煮干しラーメン,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-016,濃厚津軽煮干しラーメン,miso,味噌系,broth_seasoning,structured_field,0.78,true,structured:味噌
jp-016,濃厚津軽煮干しラーメン,niboshi,煮干し・節系,broth_seasoning,structured_field,0.86,true,name_explicit:魚介乾物
jp-016,濃厚津軽煮干しラーメン,dashi_forward,だしが主役,broth_seasoning,structured_field,0.86,true,name_explicit:魚介乾物
jp-016,濃厚津軽煮干しラーメン,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.86,true,name_explicit:魚介乾物
jp-016,濃厚津軽煮干しラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-016,濃厚津軽煮干しラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-016,濃厚津軽煮干しラーメン,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-016,濃厚津軽煮干しラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.78,true,structured:味噌
jp-017,しじみラーメン,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-017,しじみラーメン,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-017,しじみラーメン,miso,味噌系,broth_seasoning,structured_field,0.78,true,structured:味噌
jp-017,しじみラーメン,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.86,true,name_explicit:魚介素材
jp-017,しじみラーメン,seafood_ingredient,魚介を使う,ingredient,structured_field,0.86,true,name_explicit:魚介素材
jp-017,しじみラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-017,しじみラーメン,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-017,しじみラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.78,true,structured:味噌
jp-018,つゆやきそば,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-019,八戸ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-020,宮古ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-021,釜石ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-022,五穀ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-023,三陸磯ラーメン,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.86,true,name_explicit:魚介素材
jp-023,三陸磯ラーメン,seafood_ingredient,魚介を使う,ingredient,structured_field,0.86,true,name_explicit:魚介素材
jp-023,三陸磯ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-024,大船渡さんまラーメン,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.86,true,name_explicit:魚介素材
jp-024,大船渡さんまラーメン,seafood_ingredient,魚介を使う,ingredient,structured_field,0.86,true,name_explicit:魚介素材
jp-024,大船渡さんまラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-025,じゃじゃ麺,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-026,盛岡冷麺,firm_noodle,コシが強い,noodle,numeric_derived,0.62,false,noodle.firmness>=3.6
jp-026,盛岡冷麺,elastic_noodle,弾力がある,noodle,numeric_derived,0.62,false,noodle.elasticity>=3.7
jp-026,盛岡冷麺,cold,冷たい,serving,structured_field,0.88,true,form:cold
jp-026,盛岡冷麺,light,あっさり,taste_aroma,numeric_derived,0.62,false,taste.richness<=2.3 & oiliness<=2.3
jp-027,江戸系ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-028,十文字ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-029,稲庭中華そば,soy_sauce,醤油系,broth_seasoning,structured_field,0.86,true,name_explicit:醤油系
jp-029,稲庭中華そば,thin_noodle,細麺,noodle,numeric_derived,0.62,false,noodle.thickness<=2.2
jp-029,稲庭中華そば,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-030,かつラーメン,meat_ingredient,肉を使う,ingredient,legacy_tag,0.88,true,legacy_tag:カツ
jp-030,かつラーメン,tempura,天ぷら・揚げ物,ingredient,structured_field,0.78,true,ingredient:揚げ物
jp-030,かつラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-030,かつラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-031,秋田天ぷら中華,tempura,天ぷら・揚げ物,ingredient,structured_field,0.86,true,name_explicit:揚げ物
jp-031,秋田天ぷら中華,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-032,辛味噌ラーメン,miso,味噌系,broth_seasoning,structured_field,0.86,true,name_contains:味噌
jp-032,辛味噌ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-032,辛味噌ラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-032,辛味噌ラーメン,spicy,辛い・香辛料が効く,taste_aroma,structured_field,0.86,true,name_explicit:辛味
jp-032,辛味噌ラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.86,true,name_contains:味噌
jp-033,冷やしラーメン,cold,冷たい,serving,structured_field,0.88,true,form:cold
jp-033,冷やしラーメン,light,あっさり,taste_aroma,numeric_derived,0.62,false,taste.richness<=2.3 & oiliness<=2.3
jp-034,酒田ラーメン,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-034,酒田ラーメン,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.78,true,structured:魚介
jp-034,酒田ラーメン,seafood_ingredient,魚介を使う,ingredient,legacy_tag,0.88,true,legacy_tag:魚介
jp-034,酒田ラーメン,handmade,手打ち・手作り麺,noodle,legacy_tag,0.88,true,legacy_tag:自家製麺文化
jp-034,酒田ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-034,酒田ラーメン,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-035,からみそラーメン,miso,味噌系,broth_seasoning,legacy_tag,0.88,true,legacy_tag:味噌
jp-035,からみそラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-035,からみそラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-035,からみそラーメン,fermented,発酵感がある,taste_aroma,legacy_tag,0.88,true,legacy_tag:味噌
jp-036,とりもつラーメン,meat_ingredient,肉を使う,ingredient,structured_field,0.86,true,name_explicit:もつ・ホルモン
jp-036,とりもつラーメン,offal,もつ・ホルモン,ingredient,structured_field,0.86,true,name_explicit:もつ・ホルモン
jp-036,とりもつラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-036,とりもつラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-037,鳥中華,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-037,鳥中華,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-037,鳥中華,dashi_forward,だしが主役,broth_seasoning,structured_field,0.78,true,structured:だし
jp-037,鳥中華,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.78,true,structured:魚介
jp-037,鳥中華,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-037,鳥中華,light,あっさり,taste_aroma,numeric_derived,0.62,false,taste.richness<=2.3 & oiliness<=2.3
jp-038,鶴岡節系ラーメン,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-038,鶴岡節系ラーメン,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-038,鶴岡節系ラーメン,miso,味噌系,broth_seasoning,structured_field,0.78,true,structured:味噌
jp-038,鶴岡節系ラーメン,niboshi,煮干し・節系,broth_seasoning,structured_field,0.86,true,name_explicit:魚介乾物
jp-038,鶴岡節系ラーメン,dashi_forward,だしが主役,broth_seasoning,structured_field,0.86,true,name_explicit:魚介乾物
jp-038,鶴岡節系ラーメン,seafood_forward,魚介が強い,broth_seasoning,structured_field,0.86,true,name_explicit:魚介乾物
jp-038,鶴岡節系ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-038,鶴岡節系ラーメン,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-038,鶴岡節系ラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.78,true,structured:味噌
jp-039,馬肉チャーシューラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-040,米沢ラーメン,soy_sauce,醤油系,broth_seasoning,manual_review,0.93,true,manual_review:米沢ラーメン
jp-040,米沢ラーメン,traditional,伝統的・王道,culture,manual_review,0.93,true,manual_review:米沢ラーメン
jp-040,米沢ラーメン,thin_noodle,細麺,noodle,manual_review,0.93,true,manual_review:米沢ラーメン
jp-040,米沢ラーメン,high_hydration_curly,多加水の縮れ麺,noodle,manual_review,0.93,true,manual_review:米沢ラーメン
jp-040,米沢ラーメン,soup,汁あり,serving,manual_review,0.93,true,manual_review:米沢ラーメン
jp-040,米沢ラーメン,light,あっさり,taste_aroma,manual_review,0.93,true,manual_review:米沢ラーメン
jp-041,肉中華,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-042,喜多方ラーメン,soy_sauce,醤油系,broth_seasoning,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-042,喜多方ラーメン,traditional,伝統的・王道,culture,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-042,喜多方ラーメン,breakfast_culture,朝に食べる文化,culture,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-042,喜多方ラーメン,thick_noodle,太麺,noodle,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-042,喜多方ラーメン,flat_noodle,平打ち・幅広麺,noodle,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-042,喜多方ラーメン,elastic_noodle,弾力がある,noodle,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-042,喜多方ラーメン,high_hydration_curly,多加水の縮れ麺,noodle,legacy_tag,0.88,true,legacy_tag:多加水の縮れ麺
jp-042,喜多方ラーメン,soup,汁あり,serving,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-042,喜多方ラーメン,light,あっさり,taste_aroma,manual_review,0.93,true,manual_review:喜多方ラーメン
jp-043,白河ラーメン,soy_sauce,醤油系,broth_seasoning,manual_review,0.93,true,manual_review:白河ラーメン
jp-043,白河ラーメン,traditional,伝統的・王道,culture,manual_review,0.93,true,manual_review:白河ラーメン
jp-043,白河ラーメン,flat_noodle,平打ち・幅広麺,noodle,manual_review,0.93,true,manual_review:白河ラーメン
jp-043,白河ラーメン,firm_noodle,コシが強い,noodle,manual_review,0.93,true,manual_review:白河ラーメン
jp-043,白河ラーメン,handmade,手打ち・手作り麺,noodle,manual_review,0.93,true,manual_review:白河ラーメン
jp-043,白河ラーメン,soup,汁あり,serving,manual_review,0.93,true,manual_review:白河ラーメン
jp-043,白河ラーメン,light,あっさり,taste_aroma,manual_review,0.93,true,manual_review:白河ラーメン
jp-044,会津ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-045,奥州郡山とんこつラーメン,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-045,奥州郡山とんこつラーメン,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-045,奥州郡山とんこつラーメン,miso,味噌系,broth_seasoning,structured_field,0.78,true,structured:味噌
jp-045,奥州郡山とんこつラーメン,pork_bone,豚骨,broth_seasoning,structured_field,0.86,true,name_explicit:豚骨
jp-045,奥州郡山とんこつラーメン,animal_forward,動物系が強い,broth_seasoning,structured_field,0.86,true,name_explicit:豚骨
jp-045,奥州郡山とんこつラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-045,奥州郡山とんこつラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-045,奥州郡山とんこつラーメン,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-045,奥州郡山とんこつラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.78,true,structured:味噌
jp-046,郡山ブラックラーメン,soy_sauce,醤油系,broth_seasoning,legacy_tag,0.88,true,legacy_tag:濃口醤油
jp-046,郡山ブラックラーメン,dark_broth,濃い色のスープ,broth_seasoning,legacy_tag,0.88,true,legacy_tag:濃い色
jp-046,郡山ブラックラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-047,会津野沢宿味噌ラーメン,miso,味噌系,broth_seasoning,structured_field,0.86,true,name_contains:味噌
jp-047,会津野沢宿味噌ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-047,会津野沢宿味噌ラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-047,会津野沢宿味噌ラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.86,true,name_contains:味噌
jp-048,福島鶏白湯,soy_sauce,醤油系,broth_seasoning,structured_field,0.78,true,structured:醤油
jp-048,福島鶏白湯,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-048,福島鶏白湯,miso,味噌系,broth_seasoning,structured_field,0.78,true,structured:味噌
jp-048,福島鶏白湯,chicken_paitan,鶏白湯,broth_seasoning,structured_field,0.86,true,name_explicit:鶏白湯
jp-048,福島鶏白湯,animal_forward,動物系が強い,broth_seasoning,structured_field,0.86,true,name_explicit:鶏白湯
jp-048,福島鶏白湯,meat_ingredient,肉を使う,ingredient,legacy_tag,0.88,true,legacy_tag:鶏
jp-048,福島鶏白湯,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-048,福島鶏白湯,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-048,福島鶏白湯,umami_forward,うま味が強い,taste_aroma,numeric_derived,0.62,false,taste.umami>=4.0
jp-048,福島鶏白湯,fermented,発酵感がある,taste_aroma,structured_field,0.78,true,structured:味噌
jp-049,スタミナラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-050,水戸藩ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-051,下館ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-052,豆腐味噌ラーメン,miso,味噌系,broth_seasoning,structured_field,0.86,true,name_contains:味噌
jp-052,豆腐味噌ラーメン,tofu,豆腐を使う,ingredient,structured_field,0.86,true,name_explicit:豆腐
jp-052,豆腐味噌ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-052,豆腐味噌ラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-052,豆腐味噌ラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.86,true,name_contains:味噌
jp-053,佐野ラーメン,soy_sauce,醤油系,broth_seasoning,manual_review,0.93,true,manual_review:佐野ラーメン
jp-053,佐野ラーメン,traditional,伝統的・王道,culture,manual_review,0.93,true,manual_review:佐野ラーメン
jp-053,佐野ラーメン,flat_noodle,平打ち・幅広麺,noodle,manual_review,0.93,true,manual_review:佐野ラーメン
jp-053,佐野ラーメン,smooth_noodle,なめらかな麺,noodle,manual_review,0.93,true,manual_review:佐野ラーメン
jp-053,佐野ラーメン,handmade,手打ち・手作り麺,noodle,manual_review,0.93,true,manual_review:佐野ラーメン
jp-053,佐野ラーメン,soup,汁あり,serving,manual_review,0.93,true,manual_review:佐野ラーメン
jp-053,佐野ラーメン,light,あっさり,taste_aroma,manual_review,0.93,true,manual_review:佐野ラーメン
jp-054,夕顔ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-055,スープ入り焼きそば,fried_griddle,焼き・炒め,serving,structured_field,0.88,true,form:fried
jp-055,スープ入り焼きそば,roasted,香ばしい,taste_aroma,legacy_tag,0.88,true,legacy_tag:焼き・炒め
jp-056,藤岡ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-057,東毛手延べラーメン,hand_stretched,手延べ麺,noodle,legacy_tag,0.88,true,legacy_tag:手延べ麺
jp-057,東毛手延べラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-058,竹岡式ラーメン,soy_sauce,醤油系,broth_seasoning,legacy_tag,0.88,true,legacy_tag:濃口醤油
jp-058,竹岡式ラーメン,dark_broth,濃い色のスープ,broth_seasoning,legacy_tag,0.88,true,legacy_tag:濃い色
jp-058,竹岡式ラーメン,meat_ingredient,肉を使う,ingredient,legacy_tag,0.88,true,legacy_tag:チャーシュー煮汁を生かす醤油味
jp-058,竹岡式ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-059,勝浦タンタンメン,salt,塩系,broth_seasoning,structured_field,0.78,true,structured:塩
jp-059,勝浦タンタンメン,animal_forward,動物系が強い,broth_seasoning,structured_field,0.78,true,structured:動物系
jp-059,勝浦タンタンメン,vegetables,野菜が多い,ingredient,structured_field,0.86,true,name_explicit:野菜系
jp-059,勝浦タンタンメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-059,勝浦タンタンメン,spicy,辛い・香辛料が効く,taste_aroma,structured_field,0.86,true,name_explicit:辛味
jp-060,アリランラーメン,soy_sauce,醤油系,broth_seasoning,legacy_tag,0.88,true,legacy_tag:濃口醤油
jp-060,アリランラーメン,dark_broth,濃い色のスープ,broth_seasoning,legacy_tag,0.88,true,legacy_tag:濃い色
jp-060,アリランラーメン,vegetables,野菜が多い,ingredient,structured_field,0.78,true,ingredient:野菜
jp-060,アリランラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-060,アリランラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-060,アリランラーメン,spicy,辛い・香辛料が効く,taste_aroma,numeric_derived,0.62,false,taste.heat/spice
jp-060,アリランラーメン,garlic,にんにくが効く,taste_aroma,numeric_derived,0.62,false,taste.garlicIntensity>=2.5
jp-061,船橋ソースラーメン,sauce,ソース系,broth_seasoning,legacy_tag,0.88,true,legacy_tag:ソース
jp-061,船橋ソースラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-062,もばらーめん,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-063,ホワイトガウラーメン,dairy,乳製品,ingredient,structured_field,0.78,true,ingredient:乳製品
jp-063,ホワイトガウラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-063,ホワイトガウラーメン,rich,濃厚,taste_aroma,legacy_tag,0.88,true,legacy_tag:まろやか
jp-064,小見川カレー焼きそば,curry,カレー系,broth_seasoning,structured_field,0.86,true,name_contains:カレー
jp-064,小見川カレー焼きそば,fried_griddle,焼き・炒め,serving,structured_field,0.88,true,form:fried
jp-064,小見川カレー焼きそば,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-064,小見川カレー焼きそば,spicy,辛い・香辛料が効く,taste_aroma,legacy_tag,0.88,true,legacy_tag:香辛料
jp-064,小見川カレー焼きそば,roasted,香ばしい,taste_aroma,legacy_tag,0.88,true,legacy_tag:焼き・炒め
jp-065,スタミナラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-066,豆腐ラーメン,tofu,豆腐を使う,ingredient,structured_field,0.86,true,name_explicit:豆腐
jp-066,豆腐ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-067,酒粕味噌ラーメン,miso,味噌系,broth_seasoning,structured_field,0.86,true,name_contains:味噌
jp-067,酒粕味噌ラーメン,sake_lees,酒粕を使う,broth_seasoning,structured_field,0.86,true,name_explicit:酒粕
jp-067,酒粕味噌ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-067,酒粕味噌ラーメン,rich,濃厚,taste_aroma,numeric_derived,0.62,false,taste.richness>=3.5
jp-067,酒粕味噌ラーメン,fermented,発酵感がある,taste_aroma,structured_field,0.86,true,name_contains:味噌
jp-068,茶ラーメン,tea,茶を使う,ingredient,structured_field,0.86,true,name_explicit:茶
jp-068,茶ラーメン,soup,汁あり,serving,structured_field,0.74,false,collection_form:japan_local_ramen
jp-069,東京ラーメン,soy_sauce,醤油系,broth_seasoning,manual_review,0.93,true,manual_review:東京ラーメン
