id,name,collection,country,prefecture,tag_count,tags,mapped_filter_count,mapped_filter_ids,mapped_groups,form,form_evidence,noodle_thickness,noodle_firmness,noodle_evidence,richness,tag_rich,tag_thick_noodle,derived_rich_candidate,derived_thick_candidate,derived_firm_candidate,rich_x_thick_candidate,review_priority,review_reasons
jp-011,ガタタンラーメン,japan_local_ramen,日本,北海道,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-012,稚内ラーメン,japan_local_ramen,日本,北海道,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-013,利尻ラーメン,japan_local_ramen,日本,北海道,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-014,津軽中華そば,japan_local_ramen,日本,青森県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-015,味噌カレー牛乳ラーメン,japan_local_ramen,日本,青森県,6,味噌|発酵のコク|カレー|香辛料|乳製品|まろやか,6,curry|dairy|fermented|miso|rich|spicy,broth_seasoning|ingredient|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,5,true,false,true,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-016,濃厚津軽煮干しラーメン,japan_local_ramen,日本,青森県,2,煮干し|濃厚,2,niboshi|rich,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.9,true,false,true,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-017,しじみラーメン,japan_local_ramen,日本,青森県,1,貝のうま味,2,seafood_forward|umami_forward,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-018,つゆやきそば,japan_local_ramen,日本,青森県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-019,八戸ラーメン,japan_local_ramen,日本,青森県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-020,宮古ラーメン,japan_local_ramen,日本,岩手県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-021,釜石ラーメン,japan_local_ramen,日本,岩手県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-022,五穀ラーメン,japan_local_ramen,日本,岩手県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-023,三陸磯ラーメン,japan_local_ramen,日本,岩手県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-024,大船渡さんまラーメン,japan_local_ramen,日本,岩手県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-025,じゃじゃ麺,japan_local_ramen,日本,岩手県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-026,盛岡冷麺,japan_local_ramen,日本,岩手県,4,冷製|さっぱり|でんぷん質の強い麺|強い弾力,4,cold|elastic_noodle|firm_noodle|light,noodle|serving|taste_aroma,cold,explicit_or_rule,2.7,3.8,explicit_or_rule,2.2,false,false,false,false,true,false,low,
jp-027,江戸系ラーメン,japan_local_ramen,日本,秋田県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-028,十文字ラーメン,japan_local_ramen,日本,秋田県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-029,稲庭中華そば,japan_local_ramen,日本,秋田県,1,細麺,1,thin_noodle,noodle,soup,default_or_unknown,1.7,3,explicit_or_rule,2.7,false,false,false,false,false,false,medium,form_default_or_unknown
jp-030,かつラーメン,japan_local_ramen,日本,秋田県,1,カツ,1,meat_ingredient,ingredient,soup,default_or_unknown,2.7,2.8,default_only,3.5,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-031,秋田天ぷら中華,japan_local_ramen,日本,秋田県,1,天ぷら,1,tempura,ingredient,soup,default_or_unknown,2.7,2.8,default_only,3.2,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-032,辛味噌ラーメン,japan_local_ramen,日本,宮城県,4,味噌|発酵のコク|辛味|香辛料,3,fermented|miso|spicy,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,4,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-033,冷やしラーメン,japan_local_ramen,日本,山形県,2,冷製|さっぱり,2,cold|light,serving|taste_aroma,cold,explicit_or_rule,2.7,2.8,default_only,2.2,false,false,false,false,false,false,medium,noodle_default_only
jp-034,酒田ラーメン,japan_local_ramen,日本,山形県,3,醤油|魚介|自家製麺文化,4,handmade|seafood_forward|seafood_ingredient|soy_sauce,broth_seasoning|ingredient|noodle,soup,default_or_unknown,2.7,2.8,explicit_or_rule,2.7,false,false,false,false,false,false,medium,form_default_or_unknown
jp-035,からみそラーメン,japan_local_ramen,日本,山形県,2,味噌|発酵のコク,2,fermented|miso,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.7,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-036,とりもつラーメン,japan_local_ramen,日本,山形県,1,もつ,1,offal,ingredient,soup,default_or_unknown,2.7,2.8,default_only,3.5,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-037,鳥中華,japan_local_ramen,日本,山形県,1,和風だし,1,dashi_forward,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,2.1,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-038,鶴岡節系ラーメン,japan_local_ramen,日本,山形県,1,節系,1,niboshi,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-039,馬肉チャーシューラーメン,japan_local_ramen,日本,山形県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-040,米沢ラーメン,japan_local_ramen,日本,山形県,3,醤油|細麺|あっさり,3,light|soy_sauce|thin_noodle,broth_seasoning|noodle|taste_aroma,soup,default_or_unknown,1.7,3,explicit_or_rule,1.9,false,false,false,false,false,false,medium,form_default_or_unknown
jp-041,肉中華,japan_local_ramen,日本,山形県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-042,喜多方ラーメン,japan_local_ramen,日本,福島県,3,平打ち麺|醤油|多加水の縮れ麺,2,flat_noodle|soy_sauce,broth_seasoning|noodle,soup,default_or_unknown,3.1,2.8,explicit_or_rule,2.7,false,false,false,false,false,false,medium,form_default_or_unknown
jp-043,白河ラーメン,japan_local_ramen,日本,福島県,3,醤油|手打ち・手もみ|手打ちの縮れ麺,2,handmade|soy_sauce,broth_seasoning|noodle,soup,default_or_unknown,2.7,2.8,explicit_or_rule,2.7,false,false,false,false,false,false,medium,form_default_or_unknown
jp-044,会津ラーメン,japan_local_ramen,日本,福島県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-045,奥州郡山とんこつラーメン,japan_local_ramen,日本,福島県,2,豚骨|濃厚,3,animal_forward|pork_bone|rich,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,4.2,true,false,true,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-046,郡山ブラックラーメン,japan_local_ramen,日本,福島県,2,濃口醤油|濃い色,1,soy_sauce,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,3.3,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-047,会津野沢宿味噌ラーメン,japan_local_ramen,日本,福島県,2,味噌|発酵のコク,2,fermented|miso,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.7,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-048,福島鶏白湯,japan_local_ramen,日本,福島県,3,鶏白湯|まろやか|鶏,3,chicken_paitan|meat_ingredient|rich,broth_seasoning|ingredient|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,4.2,true,false,true,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-049,スタミナラーメン,japan_local_ramen,日本,茨城県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-050,水戸藩ラーメン,japan_local_ramen,日本,茨城県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-051,下館ラーメン,japan_local_ramen,日本,茨城県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-052,豆腐味噌ラーメン,japan_local_ramen,日本,茨城県,2,味噌|発酵のコク,2,fermented|miso,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.7,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-053,佐野ラーメン,japan_local_ramen,日本,栃木県,1,手打ち・手もみ,1,handmade,noodle,soup,default_or_unknown,2.7,2.8,explicit_or_rule,2.7,false,false,false,false,false,false,medium,form_default_or_unknown
jp-054,夕顔ラーメン,japan_local_ramen,日本,栃木県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-055,スープ入り焼きそば,japan_local_ramen,日本,栃木県,1,焼き・炒め,2,fried_griddle|roasted,serving|taste_aroma,fried,explicit_or_rule,2.7,2.8,default_only,3.1,false,false,false,false,false,false,medium,noodle_default_only
jp-056,藤岡ラーメン,japan_local_ramen,日本,群馬県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-057,東毛手延べラーメン,japan_local_ramen,日本,群馬県,1,手延べ麺,1,hand_stretched,noodle,soup,default_or_unknown,2.5,2.8,explicit_or_rule,2.7,false,false,false,false,false,false,medium,form_default_or_unknown
jp-058,竹岡式ラーメン,japan_local_ramen,日本,千葉県,3,濃口醤油|濃い色|チャーシュー煮汁を生かす醤油味,2,meat_ingredient|soy_sauce,broth_seasoning|ingredient,soup,default_or_unknown,2.7,2.8,default_only,3.3,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-059,勝浦タンタンメン,japan_local_ramen,日本,千葉県,5,辛味|香辛料|野菜|塩味|ラー油,3,salt|spicy|vegetables,broth_seasoning|ingredient|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2.9,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-060,アリランラーメン,japan_local_ramen,日本,千葉県,5,辛味|香辛料|にんにく|濃口醤油|濃い色,3,garlic|soy_sauce|spicy,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.8,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-061,船橋ソースラーメン,japan_local_ramen,日本,千葉県,1,ソース,1,sauce,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,2.9,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-062,もばらーめん,japan_local_ramen,日本,千葉県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-063,ホワイトガウラーメン,japan_local_ramen,日本,千葉県,2,乳製品|まろやか,2,dairy|rich,ingredient|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.3,true,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-064,小見川カレー焼きそば,japan_local_ramen,日本,千葉県,3,カレー|香辛料|焼き・炒め,4,curry|fried_griddle|roasted|spicy,broth_seasoning|serving|taste_aroma,fried,explicit_or_rule,2.7,2.8,default_only,3.8,false,false,true,false,false,false,medium,noodle_default_only|rich_not_tagged
jp-065,スタミナラーメン,japan_local_ramen,日本,埼玉県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-066,豆腐ラーメン,japan_local_ramen,日本,埼玉県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-067,酒粕味噌ラーメン,japan_local_ramen,日本,埼玉県,4,味噌|発酵のコク|酒粕|発酵,2,fermented|miso,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,4.1,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-068,茶ラーメン,japan_local_ramen,日本,埼玉県,1,茶,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.5,false,false,false,false,false,false,high,no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-069,東京ラーメン,japan_local_ramen,日本,東京都,3,醤油|淡麗|澄んだスープ,2,light|soy_sauce,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-070,荻窪ラーメン,japan_local_ramen,日本,東京都,2,醤油|煮干し,2,niboshi|soy_sauce,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-071,油そば,japan_local_ramen,日本,東京都,1,汁なし,1,brothless,serving,dry,explicit_or_rule,2.7,2.8,default_only,3.4,false,false,false,false,false,false,medium,noodle_default_only
jp-072,つけ麺,japan_local_ramen,日本,東京都,1,つけ麺,1,dipping,serving,dipping,explicit_or_rule,3.8,3.3,explicit_or_rule,3.6,false,false,true,true,false,true,medium,rich_not_tagged|thick_not_tagged
jp-073,八王子ラーメン,japan_local_ramen,日本,東京都,1,醤油,1,soy_sauce,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-074,背脂ラーメン,japan_local_ramen,日本,東京都,2,背脂|油のコク,1,rich,taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.7,true,false,true,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-075,家系ラーメン,japan_local_ramen,日本,神奈川県,2,豚骨醤油|太めの麺,3,pork_bone|soy_sauce|thick_noodle,broth_seasoning|noodle,soup,default_or_unknown,3.7,3.2,explicit_or_rule,4.2,false,true,true,true,false,true,medium,form_default_or_unknown|rich_not_tagged
jp-076,サンマーメン,japan_local_ramen,日本,神奈川県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-077,ニュータンタンメン,japan_local_ramen,日本,神奈川県,4,辛味|香辛料|野菜|塩味,3,salt|spicy|vegetables,broth_seasoning|ingredient|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2.9,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-078,平塚系タンメン,japan_local_ramen,日本,神奈川県,2,野菜|塩味,2,salt|vegetables,broth_seasoning|ingredient,soup,default_or_unknown,2.7,2.8,default_only,2.6,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-079,小田原系ラーメン,japan_local_ramen,日本,神奈川県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-080,三崎まぐろラーメン,japan_local_ramen,日本,神奈川県,1,まぐろ,2,seafood_forward|seafood_ingredient,broth_seasoning|ingredient,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-081,小田原タンタン麺,japan_local_ramen,日本,神奈川県,2,辛味|香辛料,1,spicy,taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-082,神奈川淡麗系,japan_local_ramen,日本,神奈川県,2,淡麗|澄んだスープ,1,light,taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-083,アホーメン,japan_local_ramen,日本,神奈川県,1,にんにく,1,garlic,taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2.9,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-084,新潟あっさり醤油ラーメン,japan_local_ramen,日本,新潟県,2,醤油|あっさり,2,light|soy_sauce,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,1.9,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-085,新潟濃厚味噌ラーメン,japan_local_ramen,日本,新潟県,3,味噌|発酵のコク|濃厚,3,fermented|miso|rich,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,4.9,true,false,true,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-086,長岡生姜醤油ラーメン,japan_local_ramen,日本,新潟県,2,醤油|生姜,1,soy_sauce,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-087,燕背脂ラーメン,japan_local_ramen,日本,新潟県,4,背脂|油のコク|煮干し|醤油,3,niboshi|rich|soy_sauce,broth_seasoning|taste_aroma,soup,default_or_unknown,3.7,2.8,explicit_or_rule,3.7,true,false,true,true,false,true,medium,form_default_or_unknown|thick_not_tagged
jp-088,三条カレーラーメン,japan_local_ramen,日本,新潟県,2,カレー|香辛料,2,curry|spicy,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.4,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-089,三条っ子ラーメン,japan_local_ramen,日本,新潟県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-090,見附へそラーメン,japan_local_ramen,日本,新潟県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-091,上越とん汁ラーメン,japan_local_ramen,日本,新潟県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-092,もつラーメン,japan_local_ramen,日本,新潟県,1,もつ,1,offal,ingredient,soup,default_or_unknown,2.7,2.8,default_only,3.5,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-093,冷丼,japan_local_ramen,日本,新潟県,2,冷製|さっぱり,2,cold|light,serving|taste_aroma,cold,explicit_or_rule,2.7,2.8,default_only,2.2,false,false,false,false,false,false,medium,noodle_default_only
jp-094,上越味噌ラーメン,japan_local_ramen,日本,新潟県,2,味噌|発酵のコク,2,fermented|miso,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.7,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-095,麻婆ラーメン,japan_local_ramen,日本,新潟県,2,辛味|香辛料,1,spicy,taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-096,上越雪むろ酒かすラーメン,japan_local_ramen,日本,新潟県,2,酒粕|発酵,1,fermented,taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.1,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-097,富山ブラックラーメン,japan_local_ramen,日本,富山県,3,濃口醤油|濃い色|強めの塩味,2,salt|soy_sauce,broth_seasoning,soup,default_or_unknown,2.7,2.8,default_only,3.3,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-098,入善ブラウンラーメン,japan_local_ramen,日本,富山県,1,地域独自の色名,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.9,false,false,false,false,false,false,high,no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-099,高岡グリーンラーメン,japan_local_ramen,日本,富山県,1,地域独自の色名,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.9,false,false,false,false,false,false,high,no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-100,おやべホワイトラーメン,japan_local_ramen,日本,富山県,2,乳製品|まろやか,2,dairy|rich,ingredient|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.3,true,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-101,UFOラーメン,japan_local_ramen,日本,石川県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-102,加賀味噌ラーメン,japan_local_ramen,日本,石川県,2,味噌|発酵のコク,2,fermented|miso,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.7,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
jp-103,敦賀ラーメン,japan_local_ramen,日本,福井県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-104,たけふ駅前中華そば,japan_local_ramen,日本,福井県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-105,平打ちタンメン,japan_local_ramen,日本,山梨県,3,野菜|塩味|平打ち麺,3,flat_noodle|salt|vegetables,broth_seasoning|ingredient|noodle,soup,default_or_unknown,3.1,2.8,explicit_or_rule,2.6,false,false,false,false,false,false,medium,form_default_or_unknown
jp-106,甲州地どりラーメン,japan_local_ramen,日本,山梨県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-107,やまなし源水ラーメン,japan_local_ramen,日本,山梨県,2,淡麗|澄んだスープ,1,light,taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,2,false,false,false,false,false,false,medium,noodle_default_only|form_default_or_unknown
jp-108,安養寺ラーメン,japan_local_ramen,日本,長野県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-109,王様中華そば,japan_local_ramen,日本,長野県,0,,0,,,soup,default_or_unknown,2.7,2.8,default_only,2.7,false,false,false,false,false,false,high,no_tags|no_mapped_filters|noodle_default_only|form_default_or_unknown
jp-110,ローメン,japan_local_ramen,日本,長野県,1,蒸し麺,1,fried_noodle,noodle,dry,explicit_or_rule,3.1,3.3,explicit_or_rule,2.7,false,false,false,false,false,false,low,
jp-111,信州味噌ラーメン,japan_local_ramen,日本,長野県,2,味噌|発酵のコク,2,fermented|miso,broth_seasoning|taste_aroma,soup,default_or_unknown,2.7,2.8,default_only,3.7,false,false,true,false,false,false,high,noodle_default_only|form_default_or_unknown|rich_not_tagged
