id,name,collection,country,prefecture,facet_count,facet_ids,display_facet_count,display_facet_ids,manual_reviewed,taste_completeness,broth_seasoning_completeness,noodle_completeness,serving_form_completeness,ingredients_completeness,review_priority
jp-022,五穀ラーメン,japan_local_ramen,日本,岩手県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-023,三陸磯ラーメン,japan_local_ramen,日本,岩手県,3,seafood_forward|seafood_ingredient|soup,2,seafood_forward|seafood_ingredient,false,derived,known,unknown,known,known,medium
jp-024,大船渡さんまラーメン,japan_local_ramen,日本,岩手県,3,seafood_forward|seafood_ingredient|soup,2,seafood_forward|seafood_ingredient,false,derived,known,unknown,known,known,medium
jp-025,じゃじゃ麺,japan_local_ramen,日本,岩手県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-026,盛岡冷麺,japan_local_ramen,日本,岩手県,4,firm_noodle|elastic_noodle|cold|light,1,cold,false,derived,unknown,derived,known,unknown,medium
jp-027,江戸系ラーメン,japan_local_ramen,日本,秋田県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-028,十文字ラーメン,japan_local_ramen,日本,秋田県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-029,稲庭中華そば,japan_local_ramen,日本,秋田県,3,soy_sauce|thin_noodle|soup,1,soy_sauce,false,derived,known,derived,known,unknown,low
jp-030,かつラーメン,japan_local_ramen,日本,秋田県,4,meat_ingredient|tempura|soup|rich,2,meat_ingredient|tempura,false,derived,unknown,unknown,known,known,medium
jp-031,秋田天ぷら中華,japan_local_ramen,日本,秋田県,2,tempura|soup,1,tempura,false,derived,unknown,unknown,known,known,medium
jp-032,辛味噌ラーメン,japan_local_ramen,日本,宮城県,5,miso|soup|rich|spicy|fermented,3,miso|spicy|fermented,false,known,known,unknown,known,unknown,medium
jp-033,冷やしラーメン,japan_local_ramen,日本,山形県,2,cold|light,1,cold,false,derived,unknown,unknown,known,unknown,high
jp-034,酒田ラーメン,japan_local_ramen,日本,山形県,6,soy_sauce|seafood_forward|seafood_ingredient|handmade|soup|umami_forward,4,soy_sauce|seafood_forward|seafood_ingredient|handmade,false,derived,known,derived,known,known,low
jp-035,からみそラーメン,japan_local_ramen,日本,山形県,4,miso|soup|rich|fermented,2,miso|fermented,false,known,known,unknown,known,unknown,medium
jp-036,とりもつラーメン,japan_local_ramen,日本,山形県,4,meat_ingredient|offal|soup|rich,2,meat_ingredient|offal,false,derived,unknown,unknown,known,known,medium
jp-037,鳥中華,japan_local_ramen,日本,山形県,6,soy_sauce|salt|dashi_forward|seafood_forward|soup|light,4,soy_sauce|salt|dashi_forward|seafood_forward,false,derived,known,unknown,known,unknown,medium
jp-038,鶴岡節系ラーメン,japan_local_ramen,日本,山形県,9,soy_sauce|salt|miso|niboshi|dashi_forward|seafood_forward|soup|umami_forward|fermented,7,soy_sauce|salt|miso|niboshi|dashi_forward|seafood_forward|fermented,false,known,known,unknown,known,unknown,medium
jp-039,馬肉チャーシューラーメン,japan_local_ramen,日本,山形県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-040,米沢ラーメン,japan_local_ramen,日本,山形県,6,soy_sauce|traditional|thin_noodle|high_hydration_curly|soup|light,6,soy_sauce|traditional|thin_noodle|high_hydration_curly|soup|light,true,known,known,known,known,unknown,complete
jp-041,肉中華,japan_local_ramen,日本,山形県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-042,喜多方ラーメン,japan_local_ramen,日本,福島県,9,soy_sauce|traditional|breakfast_culture|thick_noodle|flat_noodle|elastic_noodle|high_hydration_curly|soup|light,9,soy_sauce|traditional|breakfast_culture|thick_noodle|flat_noodle|elastic_noodle|high_hydration_curly|soup|light,true,known,known,known,known,unknown,complete
jp-043,白河ラーメン,japan_local_ramen,日本,福島県,7,soy_sauce|traditional|flat_noodle|firm_noodle|handmade|soup|light,7,soy_sauce|traditional|flat_noodle|firm_noodle|handmade|soup|light,true,known,known,known,known,unknown,complete
jp-044,会津ラーメン,japan_local_ramen,日本,福島県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-045,奥州郡山とんこつラーメン,japan_local_ramen,日本,福島県,9,soy_sauce|salt|miso|pork_bone|animal_forward|soup|rich|umami_forward|fermented,6,soy_sauce|salt|miso|pork_bone|animal_forward|fermented,false,known,known,unknown,known,unknown,medium
jp-046,郡山ブラックラーメン,japan_local_ramen,日本,福島県,3,soy_sauce|dark_broth|soup,2,soy_sauce|dark_broth,false,derived,known,unknown,known,unknown,medium
jp-047,会津野沢宿味噌ラーメン,japan_local_ramen,日本,福島県,4,miso|soup|rich|fermented,2,miso|fermented,false,known,known,unknown,known,unknown,medium
jp-048,福島鶏白湯,japan_local_ramen,日本,福島県,10,soy_sauce|salt|miso|chicken_paitan|animal_forward|meat_ingredient|soup|rich|umami_forward|fermented,7,soy_sauce|salt|miso|chicken_paitan|animal_forward|meat_ingredient|fermented,false,known,known,unknown,known,known,medium
jp-049,スタミナラーメン,japan_local_ramen,日本,茨城県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-050,水戸藩ラーメン,japan_local_ramen,日本,茨城県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-051,下館ラーメン,japan_local_ramen,日本,茨城県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-052,豆腐味噌ラーメン,japan_local_ramen,日本,茨城県,5,miso|tofu|soup|rich|fermented,3,miso|tofu|fermented,false,known,known,unknown,known,known,medium
jp-053,佐野ラーメン,japan_local_ramen,日本,栃木県,7,soy_sauce|traditional|flat_noodle|smooth_noodle|handmade|soup|light,7,soy_sauce|traditional|flat_noodle|smooth_noodle|handmade|soup|light,true,known,known,known,known,unknown,complete
jp-054,夕顔ラーメン,japan_local_ramen,日本,栃木県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-055,スープ入り焼きそば,japan_local_ramen,日本,栃木県,2,fried_griddle|roasted,2,fried_griddle|roasted,false,known,unknown,unknown,known,unknown,high
jp-056,藤岡ラーメン,japan_local_ramen,日本,群馬県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-057,東毛手延べラーメン,japan_local_ramen,日本,群馬県,2,hand_stretched|soup,1,hand_stretched,false,derived,unknown,derived,known,unknown,medium
jp-058,竹岡式ラーメン,japan_local_ramen,日本,千葉県,4,soy_sauce|dark_broth|meat_ingredient|soup,3,soy_sauce|dark_broth|meat_ingredient,false,derived,known,unknown,known,known,medium
jp-059,勝浦タンタンメン,japan_local_ramen,日本,千葉県,5,salt|animal_forward|vegetables|soup|spicy,4,salt|animal_forward|vegetables|spicy,false,known,known,unknown,known,known,medium
jp-060,アリランラーメン,japan_local_ramen,日本,千葉県,7,soy_sauce|dark_broth|vegetables|soup|rich|spicy|garlic,3,soy_sauce|dark_broth|vegetables,false,derived,known,unknown,known,known,medium
jp-061,船橋ソースラーメン,japan_local_ramen,日本,千葉県,2,sauce|soup,1,sauce,false,derived,known,unknown,known,unknown,medium
jp-062,もばらーめん,japan_local_ramen,日本,千葉県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-063,ホワイトガウラーメン,japan_local_ramen,日本,千葉県,3,dairy|soup|rich,2,dairy|rich,false,known,unknown,unknown,known,known,medium
jp-064,小見川カレー焼きそば,japan_local_ramen,日本,千葉県,5,curry|fried_griddle|rich|spicy|roasted,4,curry|fried_griddle|spicy|roasted,false,known,known,unknown,known,unknown,medium
jp-065,スタミナラーメン,japan_local_ramen,日本,埼玉県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-066,豆腐ラーメン,japan_local_ramen,日本,埼玉県,2,tofu|soup,1,tofu,false,derived,unknown,unknown,known,known,high
jp-067,酒粕味噌ラーメン,japan_local_ramen,日本,埼玉県,5,miso|sake_lees|soup|rich|fermented,3,miso|sake_lees|fermented,false,known,known,unknown,known,unknown,medium
jp-068,茶ラーメン,japan_local_ramen,日本,埼玉県,2,tea|soup,1,tea,false,derived,unknown,unknown,known,known,medium
jp-069,東京ラーメン,japan_local_ramen,日本,東京都,6,soy_sauce|dashi_forward|double_broth|traditional|soup|light,5,soy_sauce|dashi_forward|double_broth|traditional|soup,true,known,known,known,known,unknown,complete
jp-070,荻窪ラーメン,japan_local_ramen,日本,東京都,5,soy_sauce|niboshi|seafood_forward|soup|umami_forward,3,soy_sauce|niboshi|seafood_forward,false,derived,known,unknown,known,unknown,medium
jp-071,油そば,japan_local_ramen,日本,東京都,1,brothless,1,brothless,false,derived,unknown,unknown,known,unknown,high
jp-072,つけ麺,japan_local_ramen,日本,東京都,3,thick_noodle|dipping|rich,1,dipping,false,derived,unknown,derived,known,unknown,medium
jp-073,八王子ラーメン,japan_local_ramen,日本,東京都,3,soy_sauce|vegetables|soup,2,soy_sauce|vegetables,false,derived,known,unknown,known,known,medium
jp-074,背脂ラーメン,japan_local_ramen,日本,東京都,3,backfat|soup|rich,1,backfat,false,derived,known,unknown,known,unknown,medium
jp-075,家系ラーメン,japan_local_ramen,日本,神奈川県,8,soy_sauce|pork_bone|animal_forward|traditional|thick_noodle|firm_noodle|soup|rich,8,soy_sauce|pork_bone|animal_forward|traditional|thick_noodle|firm_noodle|soup|rich,true,known,known,known,known,unknown,complete
jp-076,サンマーメン,japan_local_ramen,日本,神奈川県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-077,ニュータンタンメン,japan_local_ramen,日本,神奈川県,5,salt|animal_forward|vegetables|soup|spicy,4,salt|animal_forward|vegetables|spicy,false,known,known,unknown,known,known,medium
jp-078,平塚系タンメン,japan_local_ramen,日本,神奈川県,4,salt|animal_forward|vegetables|soup,3,salt|animal_forward|vegetables,false,derived,known,unknown,known,known,medium
jp-079,小田原系ラーメン,japan_local_ramen,日本,神奈川県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-080,三崎まぐろラーメン,japan_local_ramen,日本,神奈川県,8,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|soup|umami_forward|fermented,6,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|fermented,false,known,known,unknown,known,known,medium
jp-081,小田原タンタン麺,japan_local_ramen,日本,神奈川県,2,soup|spicy,1,spicy,false,known,unknown,unknown,known,unknown,high
jp-082,神奈川淡麗系,japan_local_ramen,日本,神奈川県,2,soup|light,0,,false,derived,unknown,unknown,known,unknown,high
jp-083,アホーメン,japan_local_ramen,日本,神奈川県,2,soup|garlic,0,,false,derived,unknown,unknown,known,unknown,high
jp-084,新潟あっさり醤油ラーメン,japan_local_ramen,日本,新潟県,3,soy_sauce|soup|light,1,soy_sauce,false,derived,known,unknown,known,unknown,medium
jp-085,新潟濃厚味噌ラーメン,japan_local_ramen,日本,新潟県,5,miso|soup|rich|umami_forward|fermented,2,miso|fermented,false,known,known,unknown,known,unknown,medium
jp-086,長岡生姜醤油ラーメン,japan_local_ramen,日本,新潟県,3,soy_sauce|soup|ginger,2,soy_sauce|ginger,false,known,known,unknown,known,unknown,medium
jp-087,燕背脂ラーメン,japan_local_ramen,日本,新潟県,8,soy_sauce|niboshi|seafood_forward|backfat|thick_noodle|soup|rich|umami_forward,4,soy_sauce|niboshi|seafood_forward|backfat,false,derived,known,derived,known,unknown,low
jp-088,三条カレーラーメン,japan_local_ramen,日本,新潟県,3,curry|soup|spicy,2,curry|spicy,false,known,known,unknown,known,unknown,medium
jp-089,三条っ子ラーメン,japan_local_ramen,日本,新潟県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-090,見附へそラーメン,japan_local_ramen,日本,新潟県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-091,上越とん汁ラーメン,japan_local_ramen,日本,新潟県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-092,もつラーメン,japan_local_ramen,日本,新潟県,4,meat_ingredient|offal|soup|rich,2,meat_ingredient|offal,false,derived,unknown,unknown,known,known,medium
jp-093,冷丼,japan_local_ramen,日本,新潟県,2,cold|light,1,cold,false,derived,unknown,unknown,known,unknown,high
jp-094,上越味噌ラーメン,japan_local_ramen,日本,新潟県,4,miso|soup|rich|fermented,2,miso|fermented,false,known,known,unknown,known,unknown,medium
jp-095,麻婆ラーメン,japan_local_ramen,日本,新潟県,2,soup|spicy,0,,false,derived,unknown,unknown,known,unknown,high
jp-096,上越雪むろ酒かすラーメン,japan_local_ramen,日本,新潟県,3,sake_lees|soup|fermented,1,sake_lees,false,derived,known,unknown,known,unknown,medium
jp-097,富山ブラックラーメン,japan_local_ramen,日本,富山県,4,soy_sauce|salt|dark_broth|soup,3,soy_sauce|salt|dark_broth,false,derived,known,unknown,known,unknown,medium
jp-098,入善ブラウンラーメン,japan_local_ramen,日本,富山県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-099,高岡グリーンラーメン,japan_local_ramen,日本,富山県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-100,おやべホワイトラーメン,japan_local_ramen,日本,富山県,3,dairy|soup|rich,2,dairy|rich,false,known,unknown,unknown,known,known,medium
jp-101,UFOラーメン,japan_local_ramen,日本,石川県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-102,加賀味噌ラーメン,japan_local_ramen,日本,石川県,4,miso|soup|rich|fermented,2,miso|fermented,false,known,known,unknown,known,unknown,medium
jp-103,敦賀ラーメン,japan_local_ramen,日本,福井県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-104,たけふ駅前中華そば,japan_local_ramen,日本,福井県,2,soy_sauce|soup,1,soy_sauce,false,derived,known,unknown,known,unknown,high
jp-105,平打ちタンメン,japan_local_ramen,日本,山梨県,5,salt|animal_forward|vegetables|flat_noodle|soup,3,salt|animal_forward|vegetables,false,derived,known,derived,known,known,low
jp-106,甲州地どりラーメン,japan_local_ramen,日本,山梨県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-107,やまなし源水ラーメン,japan_local_ramen,日本,山梨県,2,soup|light,0,,false,derived,unknown,unknown,known,unknown,high
jp-108,安養寺ラーメン,japan_local_ramen,日本,長野県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-109,王様中華そば,japan_local_ramen,日本,長野県,2,soy_sauce|soup,1,soy_sauce,false,derived,known,unknown,known,unknown,high
jp-110,ローメン,japan_local_ramen,日本,長野県,2,fried_noodle|brothless,2,fried_noodle|brothless,false,derived,unknown,derived,known,unknown,medium
jp-111,信州味噌ラーメン,japan_local_ramen,日本,長野県,4,miso|soup|rich|fermented,2,miso|fermented,false,known,known,unknown,known,unknown,medium
jp-112,高山ラーメン,japan_local_ramen,日本,岐阜県,7,soy_sauce|dashi_forward|seafood_forward|traditional|thin_noodle|soup|light,7,soy_sauce|dashi_forward|seafood_forward|traditional|thin_noodle|soup|light,true,known,known,known,known,unknown,complete
jp-113,神岡ラーメン,japan_local_ramen,日本,岐阜県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-114,溶き味噌ラーメン,japan_local_ramen,日本,静岡県,4,miso|soup|rich|fermented,2,miso|fermented,false,known,known,unknown,known,unknown,medium
jp-115,清水もつカレーラーメン,japan_local_ramen,日本,静岡県,6,curry|meat_ingredient|offal|soup|rich|spicy,4,curry|meat_ingredient|offal|spicy,false,known,known,unknown,known,known,medium
jp-116,志太系ラーメン,japan_local_ramen,日本,静岡県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-117,富士つけナポリタン,japan_local_ramen,日本,静岡県,2,vegetables|soup,1,vegetables,false,derived,unknown,unknown,known,known,medium
jp-118,台湾ラーメン,japan_local_ramen,日本,愛知県,4,meat_ingredient|soup|spicy|garlic,1,meat_ingredient,false,derived,unknown,unknown,known,known,medium
jp-119,台湾まぜそば,japan_local_ramen,日本,愛知県,6,meat_ingredient|egg|brothless|rich|spicy|garlic,3,meat_ingredient|egg|brothless,false,derived,unknown,unknown,known,known,medium
jp-120,好来系ラーメン,japan_local_ramen,日本,愛知県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-121,ベトコンラーメン,japan_local_ramen,日本,愛知県,3,soup|spicy|garlic,1,spicy,false,known,unknown,unknown,known,unknown,high
jp-122,玉子とじラーメン,japan_local_ramen,日本,愛知県,2,egg|soup,1,egg,false,derived,unknown,unknown,known,known,medium
jp-123,亀山ラーメン,japan_local_ramen,日本,三重県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-124,京都ラーメン,japan_local_ramen,日本,京都府,9,soy_sauce|pork_bone|animal_forward|backfat|traditional|soft_noodle|soup|rich|umami_forward,8,soy_sauce|pork_bone|animal_forward|backfat|traditional|soft_noodle|soup|rich,true,known,known,known,known,unknown,complete
jp-125,京風ラーメン,japan_local_ramen,日本,京都府,6,soy_sauce|salt|dashi_forward|seafood_forward|soup|light,4,soy_sauce|salt|dashi_forward|seafood_forward,false,derived,known,unknown,known,unknown,medium
jp-126,キーシマ,japan_local_ramen,日本,京都府,6,soy_sauce|salt|dashi_forward|seafood_forward|soup|light,4,soy_sauce|salt|dashi_forward|seafood_forward,false,derived,known,unknown,known,unknown,medium
jp-127,高井田系ラーメン,japan_local_ramen,日本,大阪府,4,soy_sauce|dark_broth|thick_noodle|soup,2,soy_sauce|dark_broth,false,derived,known,derived,known,unknown,low
jp-128,大阪ライト豚骨,japan_local_ramen,日本,大阪府,9,soy_sauce|salt|miso|pork_bone|animal_forward|soup|rich|umami_forward|fermented,6,soy_sauce|salt|miso|pork_bone|animal_forward|fermented,false,known,known,unknown,known,unknown,medium
jp-129,神戸ラーメン,japan_local_ramen,日本,兵庫県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-130,えきそば,japan_local_ramen,日本,兵庫県,6,soy_sauce|salt|dashi_forward|seafood_forward|soup|light,4,soy_sauce|salt|dashi_forward|seafood_forward,false,derived,known,unknown,known,unknown,medium
jp-131,播州ラーメン,japan_local_ramen,日本,兵庫県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-132,播州赤穂塩ラーメン,japan_local_ramen,日本,兵庫県,3,salt|soup|light,1,salt,false,derived,known,unknown,known,unknown,medium
jp-133,尼崎あんかけちゃんぽん,japan_local_ramen,日本,兵庫県,12,soy_sauce|salt|miso|ankake|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|rich|umami_forward|fermented,9,soy_sauce|salt|miso|ankake|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-134,近江ちゃんぽん,japan_local_ramen,日本,滋賀県,10,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|fermented,8,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-135,天理ラーメン,japan_local_ramen,日本,奈良県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-136,和歌山ラーメン,japan_local_ramen,日本,和歌山県,9,soy_sauce|pork_bone|animal_forward|traditional|thin_noodle|soft_noodle|soup|rich|umami_forward,7,soy_sauce|pork_bone|animal_forward|traditional|thin_noodle|soft_noodle|soup,true,known,known,known,known,unknown,complete
jp-137,素ラーメン,japan_local_ramen,日本,鳥取県,6,soy_sauce|salt|dashi_forward|seafood_forward|soup|light,4,soy_sauce|salt|dashi_forward|seafood_forward,false,derived,known,unknown,known,unknown,medium
jp-138,鳥取牛骨ラーメン,japan_local_ramen,日本,鳥取県,7,soy_sauce|salt|miso|animal_forward|beef_bone|soup|fermented,6,soy_sauce|salt|miso|animal_forward|beef_bone|fermented,false,known,known,unknown,known,unknown,medium
jp-139,山陰ちゃんぽん,japan_local_ramen,日本,島根県・鳥取県,10,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|fermented,8,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-140,しじみラーメン,japan_local_ramen,日本,島根県,8,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|soup|umami_forward|fermented,6,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|fermented,false,known,known,unknown,known,known,medium
jp-141,松江ラーメン,japan_local_ramen,日本,島根県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-142,岡山ラーメン,japan_local_ramen,日本,岡山県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-143,トンカツラーメン,japan_local_ramen,日本,岡山県,4,meat_ingredient|tempura|soup|rich,2,meat_ingredient|tempura,false,derived,unknown,unknown,known,known,medium
jp-144,新見ラーメン,japan_local_ramen,日本,岡山県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-145,笠岡ラーメン,japan_local_ramen,日本,岡山県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-146,広島ラーメン,japan_local_ramen,日本,広島県,11,soy_sauce|pork_bone|seafood_forward|animal_forward|double_broth|traditional|thin_noodle|soft_noodle|soup|rich|umami_forward,10,soy_sauce|pork_bone|seafood_forward|animal_forward|double_broth|traditional|thin_noodle|soft_noodle|soup|rich,true,known,known,known,known,unknown,complete
jp-147,広島つけ麺,japan_local_ramen,日本,広島県,3,thick_noodle|dipping|rich,1,dipping,false,derived,unknown,derived,known,unknown,medium
jp-148,汁無し担々麺,japan_local_ramen,日本,広島県,3,brothless|rich|spicy,2,brothless|spicy,false,known,unknown,unknown,known,unknown,high
jp-149,尾道ラーメン,japan_local_ramen,日本,広島県,10,soy_sauce|seafood_forward|backfat|traditional|seafood_ingredient|thin_noodle|flat_noodle|soup|rich|umami_forward,8,soy_sauce|seafood_forward|backfat|traditional|seafood_ingredient|thin_noodle|flat_noodle|soup,true,known,known,known,known,known,complete
jp-150,呉冷麺,japan_local_ramen,日本,広島県,2,cold|light,1,cold,false,derived,unknown,unknown,known,unknown,high
jp-151,広島牡蠣ラーメン,japan_local_ramen,日本,広島県,8,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|soup|umami_forward|fermented,6,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|fermented,false,known,known,unknown,known,known,medium
jp-152,宇部ラーメン,japan_local_ramen,日本,山口県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-153,下松牛骨ラーメン,japan_local_ramen,日本,山口県,7,soy_sauce|salt|miso|animal_forward|beef_bone|soup|fermented,6,soy_sauce|salt|miso|animal_forward|beef_bone|fermented,false,known,known,unknown,known,unknown,medium
jp-154,瀬戸内ラーメンいりこそば,japan_local_ramen,日本,山口県,8,soy_sauce|salt|miso|niboshi|seafood_forward|soup|umami_forward|fermented,6,soy_sauce|salt|miso|niboshi|seafood_forward|fermented,false,known,known,unknown,known,unknown,medium
jp-155,徳島ラーメン,japan_local_ramen,日本,徳島県,12,soy_sauce|pork_bone|animal_forward|traditional|meat_ingredient|egg|thin_noodle|soft_noodle|soup|rich|umami_forward|sweet_savory,11,soy_sauce|pork_bone|animal_forward|traditional|meat_ingredient|egg|thin_noodle|soft_noodle|soup|rich|sweet_savory,true,known,known,known,known,known,complete
jp-156,松山瓢系ラーメン,japan_local_ramen,日本,愛媛県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-157,今治ラーメン,japan_local_ramen,日本,愛媛県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-158,八幡浜ちゃんぽん,japan_local_ramen,日本,愛媛県,10,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|fermented,8,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-159,みそカツラーメン,japan_local_ramen,日本,高知県,5,miso|tempura|soup|rich|fermented,3,miso|tempura|fermented,false,known,known,unknown,known,known,medium
jp-160,須崎鍋焼きラーメン,japan_local_ramen,日本,高知県,2,fried_griddle|roasted,2,fried_griddle|roasted,false,known,unknown,unknown,known,unknown,high
jp-161,中日そば,japan_local_ramen,日本,高知県,6,soy_sauce|salt|dashi_forward|seafood_forward|soup|light,4,soy_sauce|salt|dashi_forward|seafood_forward,false,derived,known,unknown,known,unknown,medium
